query_index,candidate_index,query_figure_id,candidate_figure_id,query_paper_id,candidate_paper_id,query_field,candidate_field,similarity,rank,negative_type
1,5701,FIG_00000002,FIG_00005702,2605.30353v1,2605.31007v1,AI,AI,0.8977835178375244,8,inter_paper
1,10654,FIG_00000002,FIG_00010655,2605.30353v1,2605.26984v1,AI,ML,0.8970165252685547,9,inter_paper
1,9604,FIG_00000002,FIG_00009605,2605.30353v1,2605.28226v1,AI,ML,0.8961187601089478,10,inter_paper
1,30596,FIG_00000002,FIG_00030597,2605.30353v1,2603.20115v1,AI,BIOINFO,0.8957796096801758,11,inter_paper
1,10154,FIG_00000002,FIG_00010155,2605.30353v1,2605.27720v1,AI,ML,0.8953468799591064,12,inter_paper
1,13065,FIG_00000002,FIG_00013066,2605.30353v1,2605.29583v1,AI,CV,0.8946911692619324,13,inter_paper
1,33584,FIG_00000002,FIG_00033585,2605.30353v1,2512.04225v1,AI,BIOINFO,0.8933180570602417,14,inter_paper
1,8442,FIG_00000002,FIG_00008443,2605.30353v1,2605.29688v1,AI,ML,0.8927002549171448,15,inter_paper
1,4004,FIG_00000002,FIG_00004005,2605.30353v1,2605.27914v1,AI,AI,0.8919065594673157,16,inter_paper
1,15259,FIG_00000002,FIG_00015260,2605.30353v1,2605.08764v1,AI,IMAGING,0.8911230564117432,17,inter_paper
1,16367,FIG_00000002,FIG_00016368,2605.30353v1,2604.14724v1,AI,IMAGING,0.8895431756973267,18,inter_paper
1,725,FIG_00000002,FIG_00000726,2605.30353v1,2605.30094v1,AI,AI,0.8893537521362305,19,inter_paper
1,2554,FIG_00000002,FIG_00002555,2605.30353v1,2605.28746v2,AI,AI,0.8889650106430054,20,inter_paper
2,11569,FIG_00000003,FIG_00011570,2605.30351v1,2605.26106v1,AI,ML,0.8909998536109924,2,inter_paper
2,1833,FIG_00000003,FIG_00001834,2605.30351v1,2605.29380v1,AI,AI,0.8855172991752625,3,inter_paper
2,11149,FIG_00000003,FIG_00011150,2605.30351v1,2605.26489v1,AI,ML,0.884236216545105,4,inter_paper
2,10952,FIG_00000003,FIG_00010953,2605.30351v1,2605.26606v1,AI,ML,0.8841583132743835,5,inter_paper
2,405,FIG_00000003,FIG_00000406,2605.30351v1,2605.28992v1,AI,IMAGING,0.8828433156013489,6,inter_paper
2,26614,FIG_00000003,FIG_00026615,2605.30351v1,2605.09595v1,AI,ROBOTICS,0.8813743591308594,7,inter_paper
2,6770,FIG_00000003,FIG_00006771,2605.30351v1,2605.31244v1,AI,ML,0.8788803815841675,8,inter_paper
2,16900,FIG_00000003,FIG_00016901,2605.30351v1,2604.06561v1,AI,IMAGING,0.878002405166626,9,inter_paper
2,8958,FIG_00000003,FIG_00008959,2605.30351v1,2605.28961v1,AI,ML,0.877863347530365,10,inter_paper
2,128,FIG_00000003,FIG_00000129,2605.30351v1,2605.30337v1,AI,ML,0.876957356929779,11,inter_paper
2,11457,FIG_00000003,FIG_00011458,2605.30351v1,2605.26271v1,AI,ML,0.876675546169281,12,inter_paper
2,10953,FIG_00000003,FIG_00010954,2605.30351v1,2605.26606v1,AI,ML,0.8756746053695679,13,inter_paper
2,23336,FIG_00000003,FIG_00023337,2605.30351v1,2605.19503v2,AI,ROBOTICS,0.8756045699119568,14,inter_paper
2,26060,FIG_00000003,FIG_00026061,2605.30351v1,2605.11210v1,AI,ROBOTICS,0.875060498714447,15,inter_paper
2,11153,FIG_00000003,FIG_00011154,2605.30351v1,2605.26489v1,AI,ML,0.8743896484375,16,inter_paper
2,1835,FIG_00000003,FIG_00001836,2605.30351v1,2605.29380v1,AI,AI,0.8740917444229126,17,inter_paper
2,22119,FIG_00000003,FIG_00022120,2605.30351v1,2605.23733v1,AI,ROBOTICS,0.8738922476768494,18,inter_paper
2,10415,FIG_00000003,FIG_00010416,2605.30351v1,2605.27293v1,AI,ML,0.8737237453460693,19,inter_paper
2,23335,FIG_00000003,FIG_00023336,2605.30351v1,2605.19503v2,AI,ROBOTICS,0.8736785054206848,20,inter_paper
4,14530,FIG_00000005,FIG_00014531,2605.30351v1,2605.20977v1,AI,IMAGING,0.8947293758392334,2,inter_paper
4,9966,FIG_00000005,FIG_00009967,2605.30351v1,2605.28886v1,AI,ML,0.8899534940719604,3,inter_paper
4,28080,FIG_00000005,FIG_00028081,2605.30351v1,2601.16064v1,AI,IMAGING,0.8896548748016357,4,inter_paper
4,1434,FIG_00000005,FIG_00001435,2605.30351v1,2605.29568v1,AI,AI,0.8862740397453308,5,inter_paper
4,15821,FIG_00000005,FIG_00015822,2605.30351v1,2605.00897v1,AI,IMAGING,0.883674144744873,6,inter_paper
4,27592,FIG_00000005,FIG_00027593,2605.30351v1,2601.23103v1,AI,IMAGING,0.8829302787780762,7,inter_paper
4,16979,FIG_00000005,FIG_00016980,2605.30351v1,2604.04507v2,AI,IMAGING,0.8815995454788208,8,inter_paper
4,14775,FIG_00000005,FIG_00014776,2605.30351v1,2605.16764v1,AI,IMAGING,0.8811945915222168,9,inter_paper
4,2926,FIG_00000005,FIG_00002927,2605.30351v1,2605.28552v1,AI,AI,0.8803408145904541,10,inter_paper
4,27741,FIG_00000005,FIG_00027742,2605.30351v1,2601.22189v1,AI,IMAGING,0.8799266815185547,11,inter_paper
4,15060,FIG_00000005,FIG_00015061,2605.30351v1,2605.11434v1,AI,IMAGING,0.8780366778373718,12,inter_paper
4,17477,FIG_00000005,FIG_00017478,2605.30351v1,2603.26859v1,AI,IMAGING,0.8765546083450317,13,inter_paper
4,15822,FIG_00000005,FIG_00015823,2605.30351v1,2605.00897v1,AI,IMAGING,0.8762163519859314,14,inter_paper
4,26949,FIG_00000005,FIG_00026950,2605.30351v1,2605.08804v2,AI,ROBOTICS,0.8757970333099365,15,inter_paper
4,4878,FIG_00000005,FIG_00004879,2605.30351v1,2605.27358v1,AI,AI,0.8751122951507568,16,inter_paper
4,16682,FIG_00000005,FIG_00016683,2605.30351v1,2604.09096v1,AI,IMAGING,0.8738167881965637,17,inter_paper
4,15093,FIG_00000005,FIG_00015094,2605.30351v1,2605.10340v1,AI,IMAGING,0.8728533983230591,18,inter_paper
4,11110,FIG_00000005,FIG_00011111,2605.30351v1,2605.26509v1,AI,ML,0.8725717067718506,19,inter_paper
4,27179,FIG_00000005,FIG_00027180,2605.30351v1,2605.07560v2,AI,ROBOTICS,0.8720306754112244,20,inter_paper
9,31144,FIG_00000010,FIG_00031145,2605.30351v1,2603.00709v1,AI,BIOINFO,0.8996970653533936,7,inter_paper
9,1750,FIG_00000010,FIG_00001751,2605.30351v1,2605.29430v1,AI,AI,0.8980256915092468,8,inter_paper
9,29125,FIG_00000010,FIG_00029126,2605.30351v1,2605.15364v1,AI,BIOINFO,0.8977848291397095,9,inter_paper
9,1465,FIG_00000010,FIG_00001466,2605.30351v1,2605.29562v1,AI,AI,0.8975613117218018,10,inter_paper
9,10611,FIG_00000010,FIG_00010612,2605.30351v1,2605.27006v1,AI,ML,0.8966450691223145,11,inter_paper
9,8976,FIG_00000010,FIG_00008977,2605.30351v1,2605.28961v1,AI,ML,0.8962831497192383,12,inter_paper
9,11360,FIG_00000010,FIG_00011361,2605.30351v1,2605.26355v1,AI,ML,0.8962728977203369,13,inter_paper
9,10013,FIG_00000010,FIG_00010014,2605.30351v1,2605.27831v1,AI,ML,0.8931726217269897,14,inter_paper
9,7039,FIG_00000010,FIG_00007040,2605.30351v1,2605.31050v1,AI,ML,0.892681360244751,15,inter_paper
9,8966,FIG_00000010,FIG_00008967,2605.30351v1,2605.28961v1,AI,ML,0.8917399644851685,16,inter_paper
9,20752,FIG_00000010,FIG_00020753,2605.30351v1,2605.22751v1,AI,CV,0.8912777900695801,17,inter_paper
9,34182,FIG_00000010,FIG_00034183,2605.30351v1,2511.15932v1,AI,BIOINFO,0.8910080194473267,18,inter_paper
9,34091,FIG_00000010,FIG_00034092,2605.30351v1,2511.18745v1,AI,BIOINFO,0.8897953033447266,19,inter_paper
11,4565,FIG_00000012,FIG_00004566,2605.30348v1,2605.27668v1,AI,AI,0.8752424716949463,1,inter_paper
11,12012,FIG_00000012,FIG_00012013,2605.30348v1,2605.31503v1,AI,CV,0.8647465705871582,2,inter_paper
11,26174,FIG_00000012,FIG_00026175,2605.30348v1,2605.10821v1,AI,ROBOTICS,0.8614581823348999,3,inter_paper
11,31062,FIG_00000012,FIG_00031063,2605.30348v1,2603.02665v1,AI,BIOINFO,0.8600864410400391,4,inter_paper
11,1163,FIG_00000012,FIG_00001164,2605.30348v1,2605.29788v1,AI,AI,0.8594253063201904,5,inter_paper
11,10816,FIG_00000012,FIG_00010817,2605.30348v1,2605.26759v1,AI,ML,0.8544309735298157,6,inter_paper
11,27904,FIG_00000012,FIG_00027905,2605.30348v1,2601.18583v1,AI,IMAGING,0.8536628484725952,7,inter_paper
11,5946,FIG_00000012,FIG_00005947,2605.30348v1,2605.30808v1,AI,AI,0.8529336452484131,8,inter_paper
11,20601,FIG_00000012,FIG_00020602,2605.30348v1,2605.23045v1,AI,CV,0.852698564529419,9,inter_paper
11,29421,FIG_00000012,FIG_00029422,2605.30348v1,2605.05706v1,AI,BIOINFO,0.8524826765060425,10,inter_paper
11,33736,FIG_00000012,FIG_00033737,2605.30348v1,2512.01462v1,AI,BIOINFO,0.8523522615432739,11,inter_paper
11,7801,FIG_00000012,FIG_00007802,2605.30348v1,2605.30451v1,AI,ML,0.8518059253692627,12,inter_paper
11,17867,FIG_00000012,FIG_00017868,2605.30348v1,2603.20700v1,AI,IMAGING,0.8505303859710693,13,inter_paper
11,90,FIG_00000012,FIG_00000091,2605.30348v1,2605.30334v1,AI,AI,0.8504878282546997,14,inter_paper
11,23455,FIG_00000012,FIG_00023456,2605.30348v1,2605.19209v1,AI,ROBOTICS,0.8499260544776917,15,inter_paper
11,7533,FIG_00000012,FIG_00007534,2605.30348v1,2605.30656v1,AI,ML,0.8480759859085083,16,inter_paper
11,1956,FIG_00000012,FIG_00001957,2605.30348v1,2605.29280v1,AI,AI,0.8477449417114258,17,inter_paper
11,31140,FIG_00000012,FIG_00031141,2605.30348v1,2603.00709v1,AI,BIOINFO,0.847721517086029,18,inter_paper
11,11656,FIG_00000012,FIG_00011657,2605.30348v1,2605.26059v1,AI,ML,0.8477079272270203,19,inter_paper
11,32682,FIG_00000012,FIG_00032683,2605.30348v1,2512.24945v2,AI,BIOINFO,0.847292959690094,20,inter_paper
12,5642,FIG_00000013,FIG_00005643,2605.30348v1,2605.31064v1,AI,AI,0.8966084122657776,5,inter_paper
12,25041,FIG_00000013,FIG_00025042,2605.30348v1,2605.13757v1,AI,ROBOTICS,0.8947601318359375,6,inter_paper
12,1872,FIG_00000013,FIG_00001873,2605.30348v1,2605.29357v1,AI,AI,0.8935275673866272,7,inter_paper
12,8517,FIG_00000013,FIG_00008518,2605.30348v1,2605.29582v1,AI,ML,0.8926593065261841,8,inter_paper
12,609,FIG_00000013,FIG_00000610,2605.30348v1,2605.30159v1,AI,AI,0.8921689987182617,9,inter_paper
12,5566,FIG_00000013,FIG_00005567,2605.30348v1,2605.31126v1,AI,AI,0.889804482460022,10,inter_paper
12,23857,FIG_00000013,FIG_00023858,2605.30348v1,2605.17912v1,AI,ROBOTICS,0.8894505500793457,11,inter_paper
12,28109,FIG_00000013,FIG_00028110,2605.30348v1,2601.15369v2,AI,IMAGING,0.888718843460083,12,inter_paper
12,3696,FIG_00000013,FIG_00003697,2605.30348v1,2605.28063v1,AI,AI,0.887537956237793,13,inter_paper
12,3676,FIG_00000013,FIG_00003677,2605.30348v1,2605.28066v1,AI,AI,0.8869384527206421,14,inter_paper
12,4347,FIG_00000013,FIG_00004348,2605.30348v1,2605.27786v1,AI,AI,0.8868844509124756,15,inter_paper
12,28547,FIG_00000013,FIG_00028548,2605.30348v1,2605.31522v1,AI,BIOINFO,0.8842462301254272,16,inter_paper
12,1036,FIG_00000013,FIG_00001037,2605.30348v1,2605.29886v1,AI,AI,0.8838776350021362,17,inter_paper
12,9669,FIG_00000013,FIG_00009670,2605.30348v1,2605.28200v1,AI,ML,0.8830716609954834,18,inter_paper
12,307,FIG_00000013,FIG_00000308,2605.30348v1,2605.30226v1,AI,ROBOTICS,0.882035493850708,19,inter_paper
12,1478,FIG_00000013,FIG_00001479,2605.30348v1,2605.29560v1,AI,AI,0.8817073702812195,20,inter_paper
13,6240,FIG_00000014,FIG_00006241,2605.30348v1,2605.30619v1,AI,AI,0.8999183773994446,20,inter_paper
14,19043,FIG_00000015,FIG_00019044,2605.30348v1,2603.03654v1,AI,IMAGING,0.8998626470565796,10,inter_paper
14,1460,FIG_00000015,FIG_00001461,2605.30348v1,2605.29562v1,AI,AI,0.8971877098083496,11,inter_paper
14,30950,FIG_00000015,FIG_00030951,2605.30348v1,2603.06567v1,AI,BIOINFO,0.8950866460800171,12,inter_paper
14,6570,FIG_00000015,FIG_00006571,2605.30348v1,2605.30393v1,AI,AI,0.894355833530426,13,inter_paper
14,19039,FIG_00000015,FIG_00019040,2605.30348v1,2603.03654v1,AI,IMAGING,0.8938335180282593,14,inter_paper
14,34229,FIG_00000015,FIG_00034230,2605.30348v1,2511.14962v1,AI,BIOINFO,0.893682599067688,15,inter_paper
14,6575,FIG_00000015,FIG_00006576,2605.30348v1,2605.30393v1,AI,AI,0.8933757543563843,16,inter_paper
14,20547,FIG_00000015,FIG_00020548,2605.30348v1,2602.13267v3,AI,IMAGING,0.8933236598968506,17,inter_paper
14,19051,FIG_00000015,FIG_00019052,2605.30348v1,2603.03654v1,AI,IMAGING,0.893109917640686,18,inter_paper
14,32195,FIG_00000015,FIG_00032196,2605.30348v1,2601.14183v2,AI,BIOINFO,0.893049418926239,19,inter_paper
14,7754,FIG_00000015,FIG_00007755,2605.30348v1,2605.30524v1,AI,ML,0.8928122520446777,20,inter_paper
16,26754,FIG_00000017,FIG_00026755,2605.30348v1,2605.09344v1,AI,ROBOTICS,0.8998457193374634,14,inter_paper
16,22189,FIG_00000017,FIG_00022190,2605.30348v1,2605.23165v1,AI,ROBOTICS,0.8996583223342896,15,inter_paper
16,11186,FIG_00000017,FIG_00011187,2605.30348v1,2605.26452v1,AI,ML,0.8988101482391357,16,inter_paper
16,30962,FIG_00000017,FIG_00030963,2605.30348v1,2603.06087v1,AI,BIOINFO,0.8985276222229004,17,inter_paper
16,30323,FIG_00000017,FIG_00030324,2605.30348v1,2604.03361v1,AI,BIOINFO,0.8982540965080261,18,inter_paper
16,11127,FIG_00000017,FIG_00011128,2605.30348v1,2605.26496v1,AI,ML,0.8982163667678833,19,inter_paper
16,26753,FIG_00000017,FIG_00026754,2605.30348v1,2605.09344v1,AI,ROBOTICS,0.8971948623657227,20,inter_paper
17,2060,FIG_00000018,FIG_00002061,2605.30345v1,2605.29229v1,AI,AI,0.82760089635849,1,inter_paper
17,23283,FIG_00000018,FIG_00023284,2605.30345v1,2605.19678v1,AI,ROBOTICS,0.8200757503509521,2,inter_paper
17,2303,FIG_00000018,FIG_00002304,2605.30345v1,2605.29076v1,AI,AI,0.8168005347251892,3,inter_paper
17,27335,FIG_00000018,FIG_00027336,2605.30345v1,2605.06966v1,AI,ROBOTICS,0.8167270421981812,4,inter_paper
17,739,FIG_00000018,FIG_00000740,2605.30345v1,2605.30054v1,AI,AI,0.8133851289749146,5,inter_paper
17,34435,FIG_00000018,FIG_00034436,2605.30345v1,2511.09588v2,AI,BIOINFO,0.8131994009017944,6,inter_paper
17,2042,FIG_00000018,FIG_00002043,2605.30345v1,2605.29234v1,AI,AI,0.8093744516372681,7,inter_paper
17,2739,FIG_00000018,FIG_00002740,2605.30345v1,2605.28666v1,AI,AI,0.8062610626220703,8,inter_paper
17,14001,FIG_00000018,FIG_00014002,2605.30345v1,2605.29766v1,AI,ROBOTICS,0.8031963109970093,9,inter_paper
17,24908,FIG_00000018,FIG_00024909,2605.30345v1,2605.14417v2,AI,ROBOTICS,0.8031370639801025,10,inter_paper
17,33017,FIG_00000018,FIG_00033018,2605.30345v1,2512.17146v1,AI,BIOINFO,0.8002262711524963,11,inter_paper
17,1806,FIG_00000018,FIG_00001807,2605.30345v1,2605.29398v1,AI,AI,0.8000737428665161,12,inter_paper
17,2580,FIG_00000018,FIG_00002581,2605.30345v1,2605.28732v1,AI,AI,0.7998044490814209,13,inter_paper
17,1226,FIG_00000018,FIG_00001227,2605.30345v1,2605.29712v1,AI,AI,0.7990220785140991,14,inter_paper
17,27132,FIG_00000018,FIG_00027133,2605.30345v1,2605.07764v1,AI,ROBOTICS,0.7980125546455383,15,inter_paper
17,31132,FIG_00000018,FIG_00031133,2605.30345v1,2603.01396v2,AI,BIOINFO,0.7979605197906494,16,inter_paper
17,15290,FIG_00000018,FIG_00015291,2605.30345v1,2605.08324v1,AI,IMAGING,0.7977687120437622,17,inter_paper
17,28268,FIG_00000018,FIG_00028269,2605.30345v1,2601.14338v1,AI,IMAGING,0.7973579168319702,18,inter_paper
17,33424,FIG_00000018,FIG_00033425,2605.30345v1,2512.06294v1,AI,BIOINFO,0.797329306602478,19,inter_paper
17,22530,FIG_00000018,FIG_00022531,2605.30345v1,2605.21901v1,AI,ROBOTICS,0.7971900105476379,20,inter_paper
18,8586,FIG_00000019,FIG_00008587,2605.30345v1,2605.29511v2,AI,ML,0.8985370993614197,2,inter_paper
18,18151,FIG_00000019,FIG_00018152,2605.30345v1,2605.12506v1,AI,IMAGING,0.8981776237487793,3,inter_paper
18,26034,FIG_00000019,FIG_00026035,2605.30345v1,2605.11381v1,AI,ROBOTICS,0.8968445062637329,4,inter_paper
18,1274,FIG_00000019,FIG_00001275,2605.30345v1,2605.29670v1,AI,AI,0.8957545757293701,5,inter_paper
18,1205,FIG_00000019,FIG_00001206,2605.30345v1,2605.29742v1,AI,AI,0.8946306705474854,6,inter_paper
18,11564,FIG_00000019,FIG_00011565,2605.30345v1,2605.26110v1,AI,ML,0.8945791721343994,7,inter_paper
18,5218,FIG_00000019,FIG_00005219,2605.30345v1,2605.27082v1,AI,AI,0.8939341306686401,8,inter_paper
18,9822,FIG_00000019,FIG_00009823,2605.30345v1,2605.28036v1,AI,ML,0.8939267992973328,9,inter_paper
18,10798,FIG_00000019,FIG_00010799,2605.30345v1,2605.26790v2,AI,ML,0.8933069705963135,10,inter_paper
18,8588,FIG_00000019,FIG_00008589,2605.30345v1,2605.29511v2,AI,ML,0.8914269804954529,11,inter_paper
18,3652,FIG_00000019,FIG_00003653,2605.30345v1,2605.28073v1,AI,AI,0.8908179998397827,12,inter_paper
18,3650,FIG_00000019,FIG_00003651,2605.30345v1,2605.28073v1,AI,AI,0.8891935348510742,13,inter_paper
18,13697,FIG_00000019,FIG_00013698,2605.30345v1,2605.31460v1,AI,ROBOTICS,0.8888135552406311,14,inter_paper
18,19849,FIG_00000019,FIG_00019850,2605.30345v1,2602.15913v1,AI,IMAGING,0.8882843255996704,15,inter_paper
18,4096,FIG_00000019,FIG_00004097,2605.30345v1,2605.27899v1,AI,AI,0.88725745677948,16,inter_paper
18,1193,FIG_00000019,FIG_00001194,2605.30345v1,2605.29744v1,AI,AI,0.8850907683372498,17,inter_paper
18,6682,FIG_00000019,FIG_00006683,2605.30345v1,2605.27355v2,AI,AI,0.884569525718689,18,inter_paper
18,4891,FIG_00000019,FIG_00004892,2605.30345v1,2605.27355v1,AI,AI,0.884569525718689,19,inter_paper
18,24346,FIG_00000019,FIG_00024347,2605.30345v1,2605.16056v1,AI,ROBOTICS,0.8828054666519165,20,inter_paper
19,10057,FIG_00000020,FIG_00010058,2605.30345v1,2605.27772v1,AI,ML,0.8055635690689087,1,inter_paper
19,18923,FIG_00000020,FIG_00018924,2605.30345v1,2603.03890v1,AI,IMAGING,0.798208475112915,2,inter_paper
19,27471,FIG_00000020,FIG_00027472,2605.30345v1,2602.00863v1,AI,IMAGING,0.7980394959449768,3,inter_paper
19,27474,FIG_00000020,FIG_00027475,2605.30345v1,2602.00863v1,AI,IMAGING,0.7975138425827026,4,inter_paper
19,33655,FIG_00000020,FIG_00033656,2605.30345v1,2512.02328v1,AI,BIOINFO,0.7895873785018921,5,inter_paper
19,30027,FIG_00000020,FIG_00030028,2605.30345v1,2604.16586v1,AI,BIOINFO,0.7839144468307495,6,inter_paper
19,16439,FIG_00000020,FIG_00016440,2605.30345v1,2604.14229v2,AI,IMAGING,0.7766054272651672,7,inter_paper
19,547,FIG_00000020,FIG_00000548,2605.30345v1,2605.30227v1,AI,AI,0.7757712602615356,8,inter_paper
19,31219,FIG_00000020,FIG_00031220,2605.30345v1,2602.23459v1,AI,BIOINFO,0.7727904915809631,9,inter_paper
19,23907,FIG_00000020,FIG_00023908,2605.30345v1,2605.17661v1,AI,ROBOTICS,0.7725063562393188,10,inter_paper
19,33956,FIG_00000020,FIG_00033957,2605.30345v1,2511.21919v1,AI,BIOINFO,0.770800769329071,11,inter_paper
19,21863,FIG_00000020,FIG_00021864,2605.30345v1,2605.24810v1,AI,ROBOTICS,0.7681189775466919,12,inter_paper
19,17364,FIG_00000020,FIG_00017365,2605.30345v1,2603.28995v1,AI,IMAGING,0.7664657831192017,13,inter_paper
19,12354,FIG_00000020,FIG_00012355,2605.30345v1,2605.30846v1,AI,CV,0.7646952867507935,14,inter_paper
19,24660,FIG_00000020,FIG_00024661,2605.30345v1,2605.15492v1,AI,ROBOTICS,0.7561608552932739,15,inter_paper
20,28076,FIG_00000021,FIG_00028077,2605.30345v1,2602.02508v1,AI,IMAGING,0.8988929390907288,2,inter_paper
20,30462,FIG_00000021,FIG_00030463,2605.30345v1,2603.26994v1,AI,BIOINFO,0.8978933095932007,3,inter_paper
20,2210,FIG_00000021,FIG_00002211,2605.30345v1,2605.29126v1,AI,AI,0.8904500007629395,4,inter_paper
20,2415,FIG_00000021,FIG_00002416,2605.30345v1,2605.28969v1,AI,AI,0.8886792659759521,5,inter_paper
20,32521,FIG_00000021,FIG_00032522,2605.30345v1,2601.06214v1,AI,BIOINFO,0.8814524412155151,6,inter_paper
20,28275,FIG_00000021,FIG_00028276,2605.30345v1,2601.14338v1,AI,IMAGING,0.8812021017074585,7,inter_paper
20,14019,FIG_00000021,FIG_00014020,2605.30345v1,2605.29710v1,AI,ROBOTICS,0.8809874057769775,8,inter_paper
20,2213,FIG_00000021,FIG_00002214,2605.30345v1,2605.29126v1,AI,AI,0.8802400827407837,9,inter_paper
20,8745,FIG_00000021,FIG_00008746,2605.30345v1,2605.29190v1,AI,ML,0.879082441329956,10,inter_paper
20,20662,FIG_00000021,FIG_00020663,2605.30345v1,2605.22823v1,AI,CV,0.8778082132339478,11,inter_paper
20,34201,FIG_00000021,FIG_00034202,2605.30345v1,2511.15839v4,AI,BIOINFO,0.8777807950973511,12,inter_paper
20,33574,FIG_00000021,FIG_00033575,2605.30345v1,2512.04311v1,AI,BIOINFO,0.8758562803268433,13,inter_paper
20,10758,FIG_00000021,FIG_00010759,2605.30345v1,2605.26844v1,AI,ML,0.8752599954605103,14,inter_paper
20,21706,FIG_00000021,FIG_00021707,2605.30345v1,2605.25313v1,AI,ROBOTICS,0.8739478588104248,15,inter_paper
20,8990,FIG_00000021,FIG_00008991,2605.30345v1,2605.28940v1,AI,ML,0.873099684715271,16,inter_paper
20,4501,FIG_00000021,FIG_00004502,2605.30345v1,2605.27712v1,AI,AI,0.8728595972061157,17,inter_paper
20,5473,FIG_00000021,FIG_00005474,2605.30345v1,2605.31164v1,AI,AI,0.8727954626083374,18,inter_paper
20,10078,FIG_00000021,FIG_00010079,2605.30345v1,2605.27756v1,AI,ML,0.8710983991622925,19,inter_paper
20,29899,FIG_00000021,FIG_00029900,2605.30345v1,2604.18431v2,AI,BIOINFO,0.8710684776306152,20,inter_paper
22,24,FIG_00000023,FIG_00000025,2605.30345v1,2605.30345v1,AI,AI,0.8456503748893738,1,intra_paper
22,28076,FIG_00000023,FIG_00028077,2605.30345v1,2602.02508v1,AI,IMAGING,0.8394708633422852,2,inter_paper
22,27511,FIG_00000023,FIG_00027512,2605.30345v1,2602.00483v1,AI,IMAGING,0.838005781173706,3,inter_paper
22,8821,FIG_00000023,FIG_00008822,2605.30345v1,2605.29108v1,AI,ML,0.8357478976249695,4,inter_paper
22,16121,FIG_00000023,FIG_00016122,2605.30345v1,2604.20245v1,AI,IMAGING,0.8315714597702026,5,inter_paper
22,16120,FIG_00000023,FIG_00016121,2605.30345v1,2604.20245v1,AI,IMAGING,0.8287607431411743,6,inter_paper
22,13093,FIG_00000023,FIG_00013094,2605.30345v1,2605.29575v1,AI,CV,0.8254419565200806,7,inter_paper
22,7473,FIG_00000023,FIG_00007474,2605.30345v1,2605.30728v1,AI,ML,0.8235833048820496,8,inter_paper
22,17447,FIG_00000023,FIG_00017448,2605.30345v1,2603.27118v1,AI,IMAGING,0.8235417604446411,9,inter_paper
22,13675,FIG_00000023,FIG_00013676,2605.30345v1,2605.31486v1,AI,ROBOTICS,0.8234004974365234,10,inter_paper
22,24809,FIG_00000023,FIG_00024810,2605.30345v1,2605.14911v1,AI,ROBOTICS,0.821863055229187,11,inter_paper
22,16119,FIG_00000023,FIG_00016120,2605.30345v1,2604.20245v1,AI,IMAGING,0.8214542865753174,12,inter_paper
22,20606,FIG_00000023,FIG_00020607,2605.30345v1,2605.24047v1,AI,CV,0.8186758756637573,13,inter_paper
