anchor_id,positive_id,negative_id
FIG_00013095,FIG_00013096,FIG_00025506
FIG_00018946,FIG_00018947,FIG_00034257
FIG_00018946,FIG_00018947,FIG_00034259
FIG_00018946,FIG_00018947,FIG_00032859
FIG_00018946,FIG_00018947,FIG_00034241
FIG_00018946,FIG_00018947,FIG_00033393
FIG_00007286,FIG_00007287,FIG_00031022
FIG_00007286,FIG_00007287,FIG_00011587
FIG_00007286,FIG_00007287,FIG_00016737
FIG_00007286,FIG_00007287,FIG_00024404
FIG_00007286,FIG_00007287,FIG_00034517
FIG_00015428,FIG_00031241,FIG_00024052
FIG_00008527,FIG_00008532,FIG_00011307
FIG_00008527,FIG_00008533,FIG_00011307
FIG_00003516,FIG_00003517,FIG_00023054
FIG_00003516,FIG_00003517,FIG_00026817
FIG_00003516,FIG_00003517,FIG_00010151
FIG_00003516,FIG_00003517,FIG_00018971
FIG_00003516,FIG_00003517,FIG_00005316
FIG_00004400,FIG_00004402,FIG_00018907
FIG_00004400,FIG_00004402,FIG_00015867
FIG_00004400,FIG_00004402,FIG_00028892
FIG_00004400,FIG_00004402,FIG_00029714
FIG_00004400,FIG_00004402,FIG_00030269
FIG_00011040,FIG_00011045,FIG_00021915
FIG_00011040,FIG_00011045,FIG_00027680
FIG_00011040,FIG_00011045,FIG_00034672
FIG_00011040,FIG_00011045,FIG_00034671
FIG_00011040,FIG_00011045,FIG_00029870
FIG_00011040,FIG_00011050,FIG_00021915
FIG_00011040,FIG_00011050,FIG_00027680
FIG_00011040,FIG_00011050,FIG_00034672
FIG_00011040,FIG_00011050,FIG_00034671
FIG_00011040,FIG_00011050,FIG_00029870
FIG_00000809,FIG_00000812,FIG_00007594
FIG_00000809,FIG_00000812,FIG_00019693
FIG_00000809,FIG_00000812,FIG_00020275
FIG_00000809,FIG_00000812,FIG_00029943
FIG_00000809,FIG_00000812,FIG_00033466
FIG_00016187,FIG_00016188,FIG_00016295
FIG_00033828,FIG_00033829,FIG_00034120
FIG_00033828,FIG_00033830,FIG_00034120
FIG_00004559,FIG_00004561,FIG_00034419
FIG_00004559,FIG_00004561,FIG_00016267
FIG_00004559,FIG_00004562,FIG_00034419
FIG_00004559,FIG_00004562,FIG_00016267
FIG_00004559,FIG_00004560,FIG_00034419
FIG_00004559,FIG_00004560,FIG_00016267
FIG_00008584,FIG_00008585,FIG_00010224
FIG_00008584,FIG_00008585,FIG_00029834
FIG_00008584,FIG_00008585,FIG_00034297
FIG_00008584,FIG_00008585,FIG_00011934
FIG_00008584,FIG_00008585,FIG_00010225
FIG_00011499,FIG_00011503,FIG_00030180
FIG_00011499,FIG_00011503,FIG_00027413
FIG_00011499,FIG_00011503,FIG_00033426
FIG_00011499,FIG_00011503,FIG_00033428
FIG_00011499,FIG_00011503,FIG_00033437
FIG_00011499,FIG_00011502,FIG_00030180
FIG_00011499,FIG_00011502,FIG_00027413
FIG_00011499,FIG_00011502,FIG_00033426
FIG_00011499,FIG_00011502,FIG_00033428
FIG_00011499,FIG_00011502,FIG_00033437
FIG_00011499,FIG_00011501,FIG_00030180
FIG_00011499,FIG_00011501,FIG_00027413
FIG_00011499,FIG_00011501,FIG_00033426
FIG_00011499,FIG_00011501,FIG_00033428
FIG_00011499,FIG_00011501,FIG_00033437
FIG_00018213,FIG_00018214,FIG_00027980
FIG_00018213,FIG_00018214,FIG_00027593
FIG_00018213,FIG_00018214,FIG_00027600
FIG_00018213,FIG_00018214,FIG_00033878
FIG_00018213,FIG_00018214,FIG_00028081
FIG_00033782,FIG_00033784,FIG_00033997
FIG_00033782,FIG_00033784,FIG_00034531
FIG_00033782,FIG_00033788,FIG_00033997
FIG_00033782,FIG_00033788,FIG_00034531
FIG_00033782,FIG_00033786,FIG_00033997
FIG_00033782,FIG_00033786,FIG_00034531
FIG_00009693,FIG_00009694,FIG_00010020
FIG_00009693,FIG_00009694,FIG_00010017
FIG_00009693,FIG_00009694,FIG_00010515
FIG_00009693,FIG_00009694,FIG_00027752
FIG_00009693,FIG_00009694,FIG_00017589
FIG_00001603,FIG_00001604,FIG_00022799
FIG_00001603,FIG_00001604,FIG_00022797
FIG_00001603,FIG_00001604,FIG_00022209
FIG_00001603,FIG_00001604,FIG_00010863
FIG_00001603,FIG_00001604,FIG_00001823
FIG_00000508,FIG_00000534,FIG_00031840
FIG_00000508,FIG_00000534,FIG_00007535
FIG_00000508,FIG_00000534,FIG_00007121
FIG_00000508,FIG_00000534,FIG_00019908
FIG_00000508,FIG_00000534,FIG_00025622
FIG_00013247,FIG_00013249,FIG_00030721
FIG_00013247,FIG_00013249,FIG_00029884
FIG_00013247,FIG_00013249,FIG_00029454
FIG_00013247,FIG_00013249,FIG_00031265
FIG_00013247,FIG_00013249,FIG_00019690
FIG_00013247,FIG_00013248,FIG_00030721
FIG_00013247,FIG_00013248,FIG_00029884
FIG_00013247,FIG_00013248,FIG_00029454
FIG_00013247,FIG_00013248,FIG_00031265
FIG_00013247,FIG_00013248,FIG_00019690
FIG_00030220,FIG_00030227,FIG_00031378
FIG_00030220,FIG_00030227,FIG_00033462
FIG_00030220,FIG_00030227,FIG_00032855
FIG_00030220,FIG_00030227,FIG_00030784
FIG_00030220,FIG_00030227,FIG_00034221
FIG_00012908,FIG_00012909,FIG_00032947
FIG_00012908,FIG_00012909,FIG_00031394
FIG_00012908,FIG_00012909,FIG_00027914
FIG_00012908,FIG_00012909,FIG_00029742
FIG_00012908,FIG_00012909,FIG_00014258
FIG_00023520,FIG_00023521,FIG_00023805
FIG_00023520,FIG_00023521,FIG_00032245
FIG_00023520,FIG_00023521,FIG_00026034
FIG_00023520,FIG_00023521,FIG_00032516
FIG_00023520,FIG_00023521,FIG_00034628
FIG_00005788,FIG_00005790,FIG_00017558
FIG_00005788,FIG_00005790,FIG_00017557
FIG_00005788,FIG_00005790,FIG_00017559
FIG_00005788,FIG_00005790,FIG_00030269
FIG_00005788,FIG_00005790,FIG_00014788
FIG_00005788,FIG_00005789,FIG_00017558
FIG_00005788,FIG_00005789,FIG_00017557
FIG_00005788,FIG_00005789,FIG_00017559
FIG_00005788,FIG_00005789,FIG_00030269
FIG_00005788,FIG_00005789,FIG_00014788
FIG_00012295,FIG_00012296,FIG_00020637
FIG_00012295,FIG_00012296,FIG_00014739
FIG_00012295,FIG_00012296,FIG_00034791
FIG_00012295,FIG_00012296,FIG_00030554
FIG_00012295,FIG_00012296,FIG_00014733
FIG_00008780,FIG_00008782,FIG_00008996
FIG_00008780,FIG_00008782,FIG_00030420
FIG_00008780,FIG_00008782,FIG_00014571
FIG_00008780,FIG_00008782,FIG_00030298
FIG_00008780,FIG_00008782,FIG_00029756
FIG_00018444,FIG_00018446,FIG_00034002
FIG_00018444,FIG_00018446,FIG_00026739
FIG_00018444,FIG_00018446,FIG_00034592
FIG_00018444,FIG_00018446,FIG_00019679
FIG_00018444,FIG_00018445,FIG_00034002
FIG_00018444,FIG_00018445,FIG_00026739
FIG_00018444,FIG_00018445,FIG_00034592
FIG_00018444,FIG_00018445,FIG_00019679
FIG_00018444,FIG_00018449,FIG_00034002
FIG_00018444,FIG_00018449,FIG_00026739
FIG_00018444,FIG_00018449,FIG_00034592
FIG_00018444,FIG_00018449,FIG_00019679
FIG_00008177,FIG_00008179,FIG_00029662
FIG_00008177,FIG_00008179,FIG_00029652
FIG_00008177,FIG_00008179,FIG_00022740
FIG_00008177,FIG_00008179,FIG_00012956
FIG_00008177,FIG_00008179,FIG_00029655
FIG_00008177,FIG_00008178,FIG_00029662
FIG_00008177,FIG_00008178,FIG_00029652
FIG_00008177,FIG_00008178,FIG_00022740
FIG_00008177,FIG_00008178,FIG_00012956
FIG_00008177,FIG_00008178,FIG_00029655
FIG_00010390,FIG_00010393,FIG_00014023
FIG_00010390,FIG_00010393,FIG_00016457
FIG_00010390,FIG_00010393,FIG_00012922
FIG_00010390,FIG_00010393,FIG_00017757
FIG_00010390,FIG_00010393,FIG_00030595
FIG_00010390,FIG_00010391,FIG_00014023
FIG_00010390,FIG_00010391,FIG_00016457
FIG_00010390,FIG_00010391,FIG_00012922
FIG_00010390,FIG_00010391,FIG_00017757
FIG_00010390,FIG_00010391,FIG_00030595
FIG_00027270,FIG_00027271,FIG_00028209
FIG_00006375,FIG_00006381,FIG_00006377
FIG_00006375,FIG_00006381,FIG_00011569
FIG_00006375,FIG_00006381,FIG_00031195
FIG_00006375,FIG_00006380,FIG_00006377
FIG_00006375,FIG_00006380,FIG_00011569
FIG_00006375,FIG_00006380,FIG_00031195
FIG_00006375,FIG_00006378,FIG_00006377
FIG_00006375,FIG_00006378,FIG_00011569
FIG_00006375,FIG_00006378,FIG_00031195
FIG_00027838,FIG_00027847,FIG_00031713
FIG_00027838,FIG_00027847,FIG_00034035
FIG_00027838,FIG_00027847,FIG_00027840
FIG_00027838,FIG_00027847,FIG_00027844
FIG_00027838,FIG_00027847,FIG_00034034
FIG_00027805,FIG_00027811,FIG_00033542
FIG_00027805,FIG_00027811,FIG_00033134
FIG_00027805,FIG_00027811,FIG_00033128
FIG_00027805,FIG_00027811,FIG_00028069
FIG_00027805,FIG_00027811,FIG_00033417
FIG_00027805,FIG_00027806,FIG_00033542
FIG_00027805,FIG_00027806,FIG_00033134
FIG_00027805,FIG_00027806,FIG_00033128
FIG_00027805,FIG_00027806,FIG_00028069
FIG_00027805,FIG_00027806,FIG_00033417
FIG_00027805,FIG_00027812,FIG_00033542
FIG_00027805,FIG_00027812,FIG_00033134
FIG_00027805,FIG_00027812,FIG_00033128
FIG_00027805,FIG_00027812,FIG_00028069
FIG_00027805,FIG_00027812,FIG_00033417
FIG_00022038,FIG_00022039,FIG_00022045
FIG_00005529,FIG_00005532,FIG_00008796
FIG_00005529,FIG_00005532,FIG_00012499
FIG_00005529,FIG_00005532,FIG_00009082
FIG_00005529,FIG_00005532,FIG_00025765
FIG_00005529,FIG_00005532,FIG_00005551
FIG_00005529,FIG_00005533,FIG_00008796
FIG_00005529,FIG_00005533,FIG_00012499
FIG_00005529,FIG_00005533,FIG_00009082
FIG_00005529,FIG_00005533,FIG_00025765
FIG_00005529,FIG_00005533,FIG_00005551
FIG_00005529,FIG_00005531,FIG_00008796
FIG_00005529,FIG_00005531,FIG_00012499
FIG_00005529,FIG_00005531,FIG_00009082
FIG_00005529,FIG_00005531,FIG_00025765
FIG_00005529,FIG_00005531,FIG_00005551
FIG_00017355,FIG_00017356,FIG_00033118
FIG_00017355,FIG_00017356,FIG_00031522
FIG_00017355,FIG_00017356,FIG_00022684
FIG_00017355,FIG_00017356,FIG_00022121
FIG_00017355,FIG_00017356,FIG_00020314
FIG_00007817,FIG_00007823,FIG_00007819
FIG_00007817,FIG_00007823,FIG_00015415
FIG_00007817,FIG_00007823,FIG_00031067
FIG_00007817,FIG_00007823,FIG_00010488
FIG_00007817,FIG_00007823,FIG_00034363
FIG_00008616,FIG_00008618,FIG_00032129
FIG_00008616,FIG_00008618,FIG_00031362
FIG_00008616,FIG_00008618,FIG_00018045
FIG_00008616,FIG_00008618,FIG_00009656
FIG_00008616,FIG_00008618,FIG_00009354
FIG_00008616,FIG_00008617,FIG_00032129
FIG_00008616,FIG_00008617,FIG_00031362
FIG_00008616,FIG_00008617,FIG_00018045
FIG_00008616,FIG_00008617,FIG_00009656
FIG_00008616,FIG_00008617,FIG_00009354
FIG_00028701,FIG_00028703,FIG_00028702
FIG_00028701,FIG_00028703,FIG_00031197
FIG_00028701,FIG_00028703,FIG_00033032
FIG_00028701,FIG_00028703,FIG_00029092
FIG_00028701,FIG_00028703,FIG_00031196
FIG_00030981,FIG_00030982,FIG_00034141
FIG_00030981,FIG_00030982,FIG_00032658
FIG_00030981,FIG_00030982,FIG_00032580
FIG_00030981,FIG_00030982,FIG_00031210
FIG_00030981,FIG_00030982,FIG_00030984
FIG_00003801,FIG_00003802,FIG_00025382
FIG_00003801,FIG_00003802,FIG_00006809
FIG_00003801,FIG_00003802,FIG_00013988
FIG_00003801,FIG_00003802,FIG_00006335
FIG_00003801,FIG_00003802,FIG_00006336
FIG_00032759,FIG_00032768,FIG_00033862
FIG_00032759,FIG_00032768,FIG_00033856
FIG_00032759,FIG_00032768,FIG_00033859
FIG_00032759,FIG_00032768,FIG_00033863
FIG_00032759,FIG_00032768,FIG_00033858
FIG_00032759,FIG_00032760,FIG_00033862
FIG_00032759,FIG_00032760,FIG_00033856
FIG_00032759,FIG_00032760,FIG_00033859
FIG_00032759,FIG_00032760,FIG_00033863
FIG_00032759,FIG_00032760,FIG_00033858
FIG_00032759,FIG_00032767,FIG_00033862
FIG_00032759,FIG_00032767,FIG_00033856
FIG_00032759,FIG_00032767,FIG_00033859
FIG_00032759,FIG_00032767,FIG_00033863
FIG_00032759,FIG_00032767,FIG_00033858
FIG_00002896,FIG_00002897,FIG_00007385
FIG_00002896,FIG_00002897,FIG_00033560
FIG_00002896,FIG_00002897,FIG_00006885
FIG_00002896,FIG_00002897,FIG_00011252
FIG_00002896,FIG_00002897,FIG_00010190
FIG_00027798,FIG_00027799,FIG_00029028
FIG_00027798,FIG_00027799,FIG_00033542
FIG_00027798,FIG_00027800,FIG_00029028
FIG_00027798,FIG_00027800,FIG_00033542
FIG_00027798,FIG_00027801,FIG_00029028
FIG_00027798,FIG_00027801,FIG_00033542
FIG_00015858,FIG_00015859,FIG_00020032
FIG_00015858,FIG_00015859,FIG_00016506
FIG_00015858,FIG_00015859,FIG_00020214
FIG_00015858,FIG_00015859,FIG_00028170
FIG_00015858,FIG_00015859,FIG_00020569
FIG_00031247,FIG_00031251,FIG_00034727
FIG_00031247,FIG_00031251,FIG_00031780
FIG_00031247,FIG_00031251,FIG_00033204
FIG_00018449,FIG_00018458,FIG_00034002
FIG_00018449,FIG_00018458,FIG_00019679
FIG_00018449,FIG_00018458,FIG_00033446
FIG_00018449,FIG_00018458,FIG_00026739
FIG_00018449,FIG_00018458,FIG_00033442
FIG_00018449,FIG_00018451,FIG_00034002
FIG_00018449,FIG_00018451,FIG_00019679
FIG_00018449,FIG_00018451,FIG_00033446
FIG_00018449,FIG_00018451,FIG_00026739
FIG_00018449,FIG_00018451,FIG_00033442
FIG_00018449,FIG_00018450,FIG_00034002
FIG_00018449,FIG_00018450,FIG_00019679
FIG_00018449,FIG_00018450,FIG_00033446
FIG_00018449,FIG_00018450,FIG_00026739
FIG_00018449,FIG_00018450,FIG_00033442
FIG_00011343,FIG_00011345,FIG_00011347
FIG_00011343,FIG_00011345,FIG_00030606
FIG_00007453,FIG_00007454,FIG_00015073
FIG_00007453,FIG_00007454,FIG_00028088
FIG_00007453,FIG_00007454,FIG_00028087
FIG_00007453,FIG_00007454,FIG_00015171
FIG_00007453,FIG_00007454,FIG_00028491
FIG_00029941,FIG_00029943,FIG_00030264
FIG_00029941,FIG_00029943,FIG_00030868
FIG_00003726,FIG_00003727,FIG_00023948
FIG_00003726,FIG_00003727,FIG_00007080
FIG_00003726,FIG_00003727,FIG_00016050
FIG_00003726,FIG_00003727,FIG_00007077
FIG_00003726,FIG_00003727,FIG_00031110
FIG_00003726,FIG_00003728,FIG_00023948
FIG_00003726,FIG_00003728,FIG_00007080
FIG_00003726,FIG_00003728,FIG_00016050
FIG_00003726,FIG_00003728,FIG_00007077
FIG_00003726,FIG_00003728,FIG_00031110
FIG_00009147,FIG_00009151,FIG_00013983
FIG_00009147,FIG_00009151,FIG_00026535
FIG_00009147,FIG_00009151,FIG_00010494
FIG_00009147,FIG_00009151,FIG_00016229
FIG_00009147,FIG_00009151,FIG_00014573
FIG_00025618,FIG_00025619,FIG_00026711
FIG_00025618,FIG_00025619,FIG_00031370
FIG_00028595,FIG_00028597,FIG_00029524
FIG_00028595,FIG_00028597,FIG_00031365
FIG_00028595,FIG_00028597,FIG_00031975
FIG_00028595,FIG_00028597,FIG_00033933
FIG_00028595,FIG_00028596,FIG_00029524
FIG_00028595,FIG_00028596,FIG_00031365
FIG_00028595,FIG_00028596,FIG_00031975
FIG_00028595,FIG_00028596,FIG_00033933
FIG_00030671,FIG_00030672,FIG_00030673
FIG_00030671,FIG_00030672,FIG_00032197
FIG_00030671,FIG_00030672,FIG_00032634
FIG_00024546,FIG_00024547,FIG_00033927
FIG_00024546,FIG_00024547,FIG_00030703
FIG_00024546,FIG_00024547,FIG_00029194
FIG_00024546,FIG_00024547,FIG_00031067
FIG_00024546,FIG_00024547,FIG_00025579
FIG_00025847,FIG_00025848,FIG_00028299
FIG_00005789,FIG_00005790,FIG_00017558
FIG_00005789,FIG_00005790,FIG_00017559
FIG_00005789,FIG_00005790,FIG_00017557
FIG_00005789,FIG_00005790,FIG_00027452
FIG_00005789,FIG_00005790,FIG_00019158
FIG_00004194,FIG_00004196,FIG_00011740
FIG_00004194,FIG_00004196,FIG_00034056
FIG_00004194,FIG_00004196,FIG_00007301
FIG_00004194,FIG_00004195,FIG_00011740
FIG_00004194,FIG_00004195,FIG_00034056
FIG_00004194,FIG_00004195,FIG_00007301
FIG_00004194,FIG_00004197,FIG_00011740
FIG_00004194,FIG_00004197,FIG_00034056
FIG_00004194,FIG_00004197,FIG_00007301
FIG_00010545,FIG_00010546,FIG_00020205
FIG_00010545,FIG_00010546,FIG_00011758
FIG_00007947,FIG_00007948,FIG_00030015
FIG_00007947,FIG_00007948,FIG_00029229
FIG_00007947,FIG_00007948,FIG_00028549
FIG_00007947,FIG_00007948,FIG_00028550
FIG_00007947,FIG_00007948,FIG_00031392
FIG_00010707,FIG_00010710,FIG_00010716
FIG_00010707,FIG_00010710,FIG_00010714
FIG_00010707,FIG_00010710,FIG_00010715
FIG_00010707,FIG_00010710,FIG_00010713
FIG_00010707,FIG_00010710,FIG_00010709
FIG_00031984,FIG_00031992,FIG_00034244
FIG_00031984,FIG_00031992,FIG_00031999
FIG_00031984,FIG_00031990,FIG_00034244
FIG_00031984,FIG_00031990,FIG_00031999
FIG_00031984,FIG_00031991,FIG_00034244
FIG_00031984,FIG_00031991,FIG_00031999
FIG_00030886,FIG_00030892,FIG_00031965
FIG_00030886,FIG_00030892,FIG_00031162
FIG_00030886,FIG_00030892,FIG_00032336
FIG_00030886,FIG_00030892,FIG_00031163
FIG_00030886,FIG_00030892,FIG_00031158
FIG_00026382,FIG_00026383,FIG_00026722
FIG_00026382,FIG_00026383,FIG_00030783
FIG_00026382,FIG_00026383,FIG_00027087
FIG_00007611,FIG_00007614,FIG_00033135
FIG_00007611,FIG_00007614,FIG_00033142
FIG_00007611,FIG_00007614,FIG_00017305
FIG_00007611,FIG_00007614,FIG_00033127
FIG_00007611,FIG_00007614,FIG_00031859
FIG_00007611,FIG_00007615,FIG_00033135
FIG_00007611,FIG_00007615,FIG_00033142
FIG_00007611,FIG_00007615,FIG_00017305
FIG_00007611,FIG_00007615,FIG_00033127
FIG_00007611,FIG_00007615,FIG_00031859
FIG_00000794,FIG_00006555,FIG_00006559
FIG_00000794,FIG_00006555,FIG_00000796
FIG_00000794,FIG_00006555,FIG_00004495
FIG_00000794,FIG_00006555,FIG_00029250
FIG_00000794,FIG_00006555,FIG_00006558
FIG_00000794,FIG_00006560,FIG_00006559
FIG_00000794,FIG_00006560,FIG_00000796
FIG_00000794,FIG_00006560,FIG_00004495
FIG_00000794,FIG_00006560,FIG_00029250
FIG_00000794,FIG_00006560,FIG_00006558
FIG_00000794,FIG_00000797,FIG_00006559
FIG_00000794,FIG_00000797,FIG_00000796
FIG_00000794,FIG_00000797,FIG_00004495
FIG_00000794,FIG_00000797,FIG_00029250
FIG_00000794,FIG_00000797,FIG_00006558
FIG_00026320,FIG_00026321,FIG_00028293
FIG_00026320,FIG_00026321,FIG_00026858
FIG_00025185,FIG_00025186,FIG_00026965
FIG_00025185,FIG_00025186,FIG_00031813
FIG_00008336,FIG_00008342,FIG_00021063
FIG_00008336,FIG_00008342,FIG_00013044
FIG_00008336,FIG_00008342,FIG_00033603
FIG_00008336,FIG_00008342,FIG_00025986
FIG_00008336,FIG_00008342,FIG_00030859
FIG_00008979,FIG_00008982,FIG_00034463
FIG_00008979,FIG_00008982,FIG_00034462
FIG_00008979,FIG_00008982,FIG_00013458
FIG_00008979,FIG_00008982,FIG_00031074
FIG_00008979,FIG_00008982,FIG_00033086
FIG_00032503,FIG_00032506,FIG_00033059
FIG_00026658,FIG_00026659,FIG_00026662
FIG_00026658,FIG_00026659,FIG_00028406
FIG_00005897,FIG_00005898,FIG_00029929
FIG_00005897,FIG_00005898,FIG_00031514
FIG_00005897,FIG_00005898,FIG_00013368
FIG_00005897,FIG_00005898,FIG_00031515
FIG_00005897,FIG_00005898,FIG_00005899
FIG_00005142,FIG_00005145,FIG_00021003
FIG_00005142,FIG_00005145,FIG_00021036
FIG_00005142,FIG_00005145,FIG_00021017
FIG_00005142,FIG_00005145,FIG_00021021
FIG_00005142,FIG_00005145,FIG_00020981
FIG_00005142,FIG_00005143,FIG_00021003
FIG_00005142,FIG_00005143,FIG_00021036
FIG_00005142,FIG_00005143,FIG_00021017
FIG_00005142,FIG_00005143,FIG_00021021
FIG_00005142,FIG_00005143,FIG_00020981
FIG_00007458,FIG_00007459,FIG_00020288
FIG_00007458,FIG_00007459,FIG_00014891
FIG_00007458,FIG_00007459,FIG_00014149
FIG_00007458,FIG_00007459,FIG_00017412
FIG_00007458,FIG_00007459,FIG_00011607
FIG_00007458,FIG_00007460,FIG_00020288
FIG_00007458,FIG_00007460,FIG_00014891
FIG_00007458,FIG_00007460,FIG_00014149
FIG_00007458,FIG_00007460,FIG_00017412
FIG_00007458,FIG_00007460,FIG_00011607
FIG_00011829,FIG_00011837,FIG_00018077
FIG_00015223,FIG_00015224,FIG_00033488
FIG_00015223,FIG_00015224,FIG_00015891
FIG_00015223,FIG_00015224,FIG_00030394
FIG_00015223,FIG_00015224,FIG_00024944
FIG_00015223,FIG_00015224,FIG_00030734
FIG_00004866,FIG_00004871,FIG_00024420
FIG_00004866,FIG_00004871,FIG_00004869
FIG_00004866,FIG_00004871,FIG_00006288
FIG_00004866,FIG_00004871,FIG_00014785
FIG_00004866,FIG_00004871,FIG_00012054
FIG_00001667,FIG_00001668,FIG_00006522
FIG_00001667,FIG_00001668,FIG_00028849
FIG_00001667,FIG_00001668,FIG_00007305
FIG_00001667,FIG_00001668,FIG_00003599
FIG_00001667,FIG_00001668,FIG_00002684
FIG_00002077,FIG_00002078,FIG_00010759
FIG_00002077,FIG_00002078,FIG_00002634
FIG_00002077,FIG_00002078,FIG_00018532
FIG_00002077,FIG_00002078,FIG_00031810
FIG_00002077,FIG_00002078,FIG_00007763
FIG_00028240,FIG_00028242,FIG_00028241
FIG_00030103,FIG_00030106,FIG_00030955
FIG_00030103,FIG_00030106,FIG_00030108
FIG_00030103,FIG_00030106,FIG_00034221
FIG_00030103,FIG_00030106,FIG_00031113
FIG_00030103,FIG_00030106,FIG_00030298
FIG_00030103,FIG_00030105,FIG_00030955
FIG_00030103,FIG_00030105,FIG_00030108
FIG_00030103,FIG_00030105,FIG_00034221
FIG_00030103,FIG_00030105,FIG_00031113
FIG_00030103,FIG_00030105,FIG_00030298
FIG_00031898,FIG_00031900,FIG_00033924
FIG_00031898,FIG_00031900,FIG_00033953
FIG_00031898,FIG_00031900,FIG_00031899
FIG_00010249,FIG_00010250,FIG_00027116
FIG_00010249,FIG_00010250,FIG_00021160
FIG_00013853,FIG_00013854,FIG_00019082
FIG_00013853,FIG_00013854,FIG_00025051
FIG_00013853,FIG_00013854,FIG_00015106
FIG_00013853,FIG_00013854,FIG_00032186
FIG_00013853,FIG_00013854,FIG_00018453
FIG_00013853,FIG_00013855,FIG_00019082
FIG_00013853,FIG_00013855,FIG_00025051
FIG_00013853,FIG_00013855,FIG_00015106
FIG_00013853,FIG_00013855,FIG_00032186
FIG_00013853,FIG_00013855,FIG_00018453
FIG_00009075,FIG_00009076,FIG_00009077
FIG_00009075,FIG_00009076,FIG_00030092
FIG_00009075,FIG_00009076,FIG_00030091
FIG_00009075,FIG_00009076,FIG_00026386
FIG_00009075,FIG_00009076,FIG_00009635
FIG_00006085,FIG_00006091,FIG_00007003
FIG_00006085,FIG_00006091,FIG_00029002
FIG_00006085,FIG_00006091,FIG_00009031
FIG_00006085,FIG_00006091,FIG_00017000
FIG_00006085,FIG_00006091,FIG_00019533
FIG_00006085,FIG_00006087,FIG_00007003
FIG_00006085,FIG_00006087,FIG_00029002
FIG_00006085,FIG_00006087,FIG_00009031
