caption_id,figure_id,paper_id,field,page,caption_image_path
CAP_00000036,FIG_00000036,2605.30343v1,AI,5,captions/AI/CAP_00000036.png
CAP_00000037,FIG_00000037,2605.30343v1,AI,6,captions/AI/CAP_00000037.png
CAP_00000038,FIG_00000038,2605.30343v1,AI,8,captions/AI/CAP_00000038.png
CAP_00000039,FIG_00000039,2605.30343v1,AI,10,captions/AI/CAP_00000039.png
CAP_00000040,FIG_00000040,2605.30343v1,AI,10,captions/AI/CAP_00000040.png
CAP_00000041,FIG_00000041,2605.30343v1,AI,16,captions/AI/CAP_00000041.png
CAP_00000042,FIG_00000042,2605.30343v1,AI,17,captions/AI/CAP_00000042.png
CAP_00000043,FIG_00000043,2605.30343v1,AI,17,captions/AI/CAP_00000043.png
CAP_00000044,FIG_00000044,2605.30343v1,AI,18,captions/AI/CAP_00000044.png
CAP_00000045,FIG_00000045,2605.30343v1,AI,18,captions/AI/CAP_00000045.png
CAP_00000046,FIG_00000046,2605.30343v1,AI,18,captions/AI/CAP_00000046.png
CAP_00000047,FIG_00000047,2605.30343v1,AI,20,captions/AI/CAP_00000047.png
CAP_00000048,FIG_00000048,2605.30343v1,AI,21,captions/AI/CAP_00000048.png
CAP_00000049,FIG_00000049,2605.30341v1,AI,2,captions/AI/CAP_00000049.png
CAP_00000050,FIG_00000050,2605.30341v1,AI,2,captions/AI/CAP_00000050.png
CAP_00000051,FIG_00000051,2605.30341v1,AI,2,captions/AI/CAP_00000051.png
CAP_00000052,FIG_00000052,2605.30341v1,AI,2,captions/AI/CAP_00000052.png
CAP_00000053,FIG_00000053,2605.30341v1,AI,2,captions/AI/CAP_00000053.png
CAP_00000054,FIG_00000054,2605.30341v1,AI,2,captions/AI/CAP_00000054.png
CAP_00000055,FIG_00000055,2605.30341v1,AI,2,captions/AI/CAP_00000055.png
CAP_00000056,FIG_00000056,2605.30341v1,AI,2,captions/AI/CAP_00000056.png
CAP_00000057,FIG_00000057,2605.30341v1,AI,2,captions/AI/CAP_00000057.png
CAP_00000058,FIG_00000058,2605.30341v1,AI,2,captions/AI/CAP_00000058.png
CAP_00000059,FIG_00000059,2605.30341v1,AI,2,captions/AI/CAP_00000059.png
CAP_00000060,FIG_00000060,2605.30341v1,AI,2,captions/AI/CAP_00000060.png
CAP_00000061,FIG_00000061,2605.30341v1,AI,2,captions/AI/CAP_00000061.png
CAP_00000062,FIG_00000062,2605.30341v1,AI,3,captions/AI/CAP_00000062.png
CAP_00000063,FIG_00000063,2605.30341v1,AI,4,captions/AI/CAP_00000063.png
CAP_00000064,FIG_00000064,2605.30341v1,AI,4,captions/AI/CAP_00000064.png
CAP_00000065,FIG_00000065,2605.30341v1,AI,5,captions/AI/CAP_00000065.png
CAP_00000066,FIG_00000066,2605.30341v1,AI,5,captions/AI/CAP_00000066.png
CAP_00000067,FIG_00000067,2605.30341v1,AI,6,captions/AI/CAP_00000067.png
CAP_00000068,FIG_00000068,2605.30341v1,AI,7,captions/AI/CAP_00000068.png
CAP_00000069,FIG_00000069,2605.30341v1,AI,8,captions/AI/CAP_00000069.png
CAP_00000070,FIG_00000070,2605.30341v1,AI,9,captions/AI/CAP_00000070.png
CAP_00000071,FIG_00000071,2605.30341v1,AI,9,captions/AI/CAP_00000071.png
CAP_00000072,FIG_00000072,2605.30341v1,AI,15,captions/AI/CAP_00000072.png
CAP_00000073,FIG_00000073,2605.30341v1,AI,15,captions/AI/CAP_00000073.png
CAP_00000074,FIG_00000074,2605.30341v1,AI,15,captions/AI/CAP_00000074.png
CAP_00000075,FIG_00000075,2605.30341v1,AI,15,captions/AI/CAP_00000075.png
CAP_00000076,FIG_00000076,2605.30341v1,AI,15,captions/AI/CAP_00000076.png
CAP_00000077,FIG_00000077,2605.30341v1,AI,15,captions/AI/CAP_00000077.png
CAP_00000078,FIG_00000078,2605.30341v1,AI,15,captions/AI/CAP_00000078.png
CAP_00000079,FIG_00000079,2605.30341v1,AI,17,captions/AI/CAP_00000079.png
CAP_00000080,FIG_00000080,2605.30341v1,AI,17,captions/AI/CAP_00000080.png
CAP_00000081,FIG_00000081,2605.30341v1,AI,18,captions/AI/CAP_00000081.png
CAP_00000082,FIG_00000082,2605.30341v1,AI,18,captions/AI/CAP_00000082.png
CAP_00000083,FIG_00000083,2605.30341v1,AI,19,captions/AI/CAP_00000083.png
CAP_00000084,FIG_00000084,2605.30335v1,AI,1,captions/AI/CAP_00000084.png
CAP_00000085,FIG_00000085,2605.30335v1,AI,7,captions/AI/CAP_00000085.png
CAP_00000086,FIG_00000086,2605.30335v1,AI,13,captions/AI/CAP_00000086.png
CAP_00000087,FIG_00000087,2605.30335v1,AI,15,captions/AI/CAP_00000087.png
CAP_00000088,FIG_00000088,2605.30335v1,AI,18,captions/AI/CAP_00000088.png
CAP_00000089,FIG_00000089,2605.30335v1,AI,19,captions/AI/CAP_00000089.png
CAP_00000090,FIG_00000090,2605.30335v1,AI,23,captions/AI/CAP_00000090.png
CAP_00000091,FIG_00000091,2605.30334v1,AI,1,captions/AI/CAP_00000091.png
CAP_00000092,FIG_00000092,2605.30334v1,AI,4,captions/AI/CAP_00000092.png
CAP_00000093,FIG_00000093,2605.30334v1,AI,6,captions/AI/CAP_00000093.png
CAP_00000094,FIG_00000094,2605.30334v1,AI,6,captions/AI/CAP_00000094.png
CAP_00000095,FIG_00000095,2605.30334v1,AI,7,captions/AI/CAP_00000095.png
CAP_00000096,FIG_00000096,2605.30334v1,AI,7,captions/AI/CAP_00000096.png
CAP_00000097,FIG_00000097,2605.30334v1,AI,8,captions/AI/CAP_00000097.png
CAP_00000098,FIG_00000098,2605.30327v1,AI,2,captions/AI/CAP_00000098.png
CAP_00000099,FIG_00000099,2605.30327v1,AI,9,captions/AI/CAP_00000099.png
CAP_00000100,FIG_00000100,2605.30327v1,AI,12,captions/AI/CAP_00000100.png
CAP_00000101,FIG_00000101,2605.30327v1,AI,29,captions/AI/CAP_00000101.png
CAP_00000102,FIG_00000102,2605.30327v1,AI,30,captions/AI/CAP_00000102.png
CAP_00000103,FIG_00000103,2605.30327v1,AI,30,captions/AI/CAP_00000103.png
CAP_00000104,FIG_00000104,2605.30327v1,AI,31,captions/AI/CAP_00000104.png
CAP_00000105,FIG_00000105,2605.30327v1,AI,31,captions/AI/CAP_00000105.png
CAP_00000106,FIG_00000106,2605.30327v1,AI,31,captions/AI/CAP_00000106.png
CAP_00000107,FIG_00000107,2605.30350v1,ML,1,captions/ML/CAP_00000107.png
CAP_00000108,FIG_00000108,2605.30350v1,ML,1,captions/ML/CAP_00000108.png
CAP_00000109,FIG_00000109,2605.30350v1,ML,1,captions/ML/CAP_00000109.png
CAP_00000110,FIG_00000110,2605.30350v1,ML,3,captions/ML/CAP_00000110.png
CAP_00000111,FIG_00000111,2605.30350v1,ML,4,captions/ML/CAP_00000111.png
CAP_00000112,FIG_00000112,2605.30350v1,ML,6,captions/ML/CAP_00000112.png
CAP_00000113,FIG_00000113,2605.30350v1,ML,6,captions/ML/CAP_00000113.png
CAP_00000114,FIG_00000114,2605.30350v1,ML,8,captions/ML/CAP_00000114.png
CAP_00000115,FIG_00000115,2605.30350v1,ML,19,captions/ML/CAP_00000115.png
CAP_00000116,FIG_00000116,2605.30350v1,ML,20,captions/ML/CAP_00000116.png
CAP_00000117,FIG_00000117,2605.30350v1,ML,23,captions/ML/CAP_00000117.png
CAP_00000118,FIG_00000118,2605.30350v1,ML,25,captions/ML/CAP_00000118.png
CAP_00000119,FIG_00000119,2605.30350v1,ML,26,captions/ML/CAP_00000119.png
CAP_00000120,FIG_00000120,2605.30337v1,ML,2,captions/ML/CAP_00000120.png
CAP_00000121,FIG_00000121,2605.30337v1,ML,6,captions/ML/CAP_00000121.png
CAP_00000122,FIG_00000122,2605.30337v1,ML,7,captions/ML/CAP_00000122.png
CAP_00000123,FIG_00000123,2605.30337v1,ML,7,captions/ML/CAP_00000123.png
CAP_00000124,FIG_00000124,2605.30337v1,ML,8,captions/ML/CAP_00000124.png
CAP_00000125,FIG_00000125,2605.30337v1,ML,9,captions/ML/CAP_00000125.png
CAP_00000126,FIG_00000126,2605.30337v1,ML,9,captions/ML/CAP_00000126.png
CAP_00000127,FIG_00000127,2605.30337v1,ML,17,captions/ML/CAP_00000127.png
CAP_00000128,FIG_00000128,2605.30337v1,ML,18,captions/ML/CAP_00000128.png
CAP_00000129,FIG_00000129,2605.30337v1,ML,18,captions/ML/CAP_00000129.png
CAP_00000130,FIG_00000130,2605.30337v1,ML,19,captions/ML/CAP_00000130.png
CAP_00000131,FIG_00000131,2605.30337v1,ML,20,captions/ML/CAP_00000131.png
CAP_00000132,FIG_00000132,2605.30337v1,ML,21,captions/ML/CAP_00000132.png
CAP_00000133,FIG_00000133,2605.30337v1,ML,22,captions/ML/CAP_00000133.png
CAP_00000134,FIG_00000134,2605.30337v1,ML,23,captions/ML/CAP_00000134.png
CAP_00000135,FIG_00000135,2605.30337v1,ML,24,captions/ML/CAP_00000135.png
CAP_00000136,FIG_00000136,2605.30336v1,ML,5,captions/ML/CAP_00000136.png
CAP_00000137,FIG_00000137,2605.30336v1,ML,5,captions/ML/CAP_00000137.png
CAP_00000138,FIG_00000138,2605.30330v1,ML,10,captions/ML/CAP_00000138.png
CAP_00000139,FIG_00000139,2605.30330v1,ML,11,captions/ML/CAP_00000139.png
CAP_00000140,FIG_00000140,2605.30330v1,ML,11,captions/ML/CAP_00000140.png
CAP_00000141,FIG_00000141,2605.30330v1,ML,12,captions/ML/CAP_00000141.png
CAP_00000142,FIG_00000142,2605.30330v1,ML,47,captions/ML/CAP_00000142.png
CAP_00000143,FIG_00000143,2605.30330v1,ML,47,captions/ML/CAP_00000143.png
CAP_00000144,FIG_00000144,2605.30330v1,ML,48,captions/ML/CAP_00000144.png
CAP_00000145,FIG_00000145,2605.30330v1,ML,48,captions/ML/CAP_00000145.png
CAP_00000146,FIG_00000146,2605.30330v1,ML,49,captions/ML/CAP_00000146.png
CAP_00000147,FIG_00000147,2605.30330v1,ML,49,captions/ML/CAP_00000147.png
CAP_00000148,FIG_00000148,2605.30330v1,ML,50,captions/ML/CAP_00000148.png
CAP_00000149,FIG_00000149,2605.30330v1,ML,50,captions/ML/CAP_00000149.png
CAP_00000150,FIG_00000150,2605.30330v1,ML,51,captions/ML/CAP_00000150.png
CAP_00000151,FIG_00000151,2605.30330v1,ML,51,captions/ML/CAP_00000151.png
CAP_00000152,FIG_00000152,2605.30330v1,ML,51,captions/ML/CAP_00000152.png
CAP_00000153,FIG_00000153,2605.30330v1,ML,52,captions/ML/CAP_00000153.png
CAP_00000154,FIG_00000154,2605.30330v1,ML,52,captions/ML/CAP_00000154.png
CAP_00000155,FIG_00000155,2605.30330v1,ML,53,captions/ML/CAP_00000155.png
CAP_00000156,FIG_00000156,2605.30330v1,ML,53,captions/ML/CAP_00000156.png
CAP_00000157,FIG_00000157,2605.30330v1,ML,54,captions/ML/CAP_00000157.png
CAP_00000158,FIG_00000158,2605.30330v1,ML,54,captions/ML/CAP_00000158.png
CAP_00000159,FIG_00000159,2605.30330v1,ML,54,captions/ML/CAP_00000159.png
CAP_00000160,FIG_00000160,2605.30330v1,ML,55,captions/ML/CAP_00000160.png
CAP_00000161,FIG_00000161,2605.30330v1,ML,55,captions/ML/CAP_00000161.png
CAP_00000162,FIG_00000162,2605.30329v1,ML,3,captions/ML/CAP_00000162.png
CAP_00000163,FIG_00000163,2605.30329v1,ML,4,captions/ML/CAP_00000163.png
CAP_00000164,FIG_00000164,2605.30329v1,ML,7,captions/ML/CAP_00000164.png
CAP_00000165,FIG_00000165,2605.30329v1,ML,9,captions/ML/CAP_00000165.png
CAP_00000166,FIG_00000166,2605.30329v1,ML,11,captions/ML/CAP_00000166.png
CAP_00000167,FIG_00000167,2605.30329v1,ML,25,captions/ML/CAP_00000167.png
CAP_00000168,FIG_00000168,2605.30329v1,ML,29,captions/ML/CAP_00000168.png
CAP_00000169,FIG_00000169,2605.30329v1,ML,29,captions/ML/CAP_00000169.png
CAP_00000170,FIG_00000170,2605.30329v1,ML,29,captions/ML/CAP_00000170.png
CAP_00000171,FIG_00000171,2605.30329v1,ML,30,captions/ML/CAP_00000171.png
CAP_00000172,FIG_00000172,2605.30329v1,ML,30,captions/ML/CAP_00000172.png
CAP_00000173,FIG_00000173,2605.30329v1,ML,31,captions/ML/CAP_00000173.png
CAP_00000174,FIG_00000174,2605.30329v1,ML,32,captions/ML/CAP_00000174.png
CAP_00000175,FIG_00000175,2605.30329v1,ML,32,captions/ML/CAP_00000175.png
CAP_00000176,FIG_00000176,2605.30329v1,ML,33,captions/ML/CAP_00000176.png
CAP_00000177,FIG_00000177,2605.30329v1,ML,33,captions/ML/CAP_00000177.png
CAP_00000178,FIG_00000178,2605.30329v1,ML,33,captions/ML/CAP_00000178.png
CAP_00000179,FIG_00000179,2605.30329v1,ML,34,captions/ML/CAP_00000179.png
CAP_00000180,FIG_00000180,2605.30329v1,ML,34,captions/ML/CAP_00000180.png
CAP_00000181,FIG_00000181,2605.30323v1,ML,11,captions/ML/CAP_00000181.png
CAP_00000182,FIG_00000182,2605.30352v1,CV,1,captions/CV/CAP_00000182.png
CAP_00000183,FIG_00000183,2605.30352v1,CV,3,captions/CV/CAP_00000183.png
CAP_00000184,FIG_00000184,2605.30352v1,CV,5,captions/CV/CAP_00000184.png
CAP_00000185,FIG_00000185,2605.30352v1,CV,8,captions/CV/CAP_00000185.png
CAP_00000186,FIG_00000186,2605.30352v1,CV,8,captions/CV/CAP_00000186.png
CAP_00000187,FIG_00000187,2605.30352v1,CV,15,captions/CV/CAP_00000187.png
CAP_00000188,FIG_00000188,2605.30352v1,CV,18,captions/CV/CAP_00000188.png
CAP_00000189,FIG_00000189,2605.30352v1,CV,19,captions/CV/CAP_00000189.png
CAP_00000190,FIG_00000190,2605.30352v1,CV,23,captions/CV/CAP_00000190.png
CAP_00000191,FIG_00000191,2605.30352v1,CV,24,captions/CV/CAP_00000191.png
CAP_00000192,FIG_00000192,2605.30352v1,CV,24,captions/CV/CAP_00000192.png
CAP_00000193,FIG_00000193,2605.30349v1,CV,1,captions/CV/CAP_00000193.png
CAP_00000194,FIG_00000194,2605.30349v1,CV,3,captions/CV/CAP_00000194.png
CAP_00000195,FIG_00000195,2605.30349v1,CV,4,captions/CV/CAP_00000195.png
CAP_00000196,FIG_00000196,2605.30349v1,CV,8,captions/CV/CAP_00000196.png
CAP_00000197,FIG_00000197,2605.30349v1,CV,9,captions/CV/CAP_00000197.png
CAP_00000198,FIG_00000198,2605.30349v1,CV,15,captions/CV/CAP_00000198.png
CAP_00000199,FIG_00000199,2605.30347v1,CV,1,captions/CV/CAP_00000199.png
CAP_00000200,FIG_00000200,2605.30347v1,CV,3,captions/CV/CAP_00000200.png
CAP_00000201,FIG_00000201,2605.30347v1,CV,3,captions/CV/CAP_00000201.png
CAP_00000202,FIG_00000202,2605.30347v1,CV,3,captions/CV/CAP_00000202.png
CAP_00000203,FIG_00000203,2605.30347v1,CV,4,captions/CV/CAP_00000203.png
CAP_00000204,FIG_00000204,2605.30347v1,CV,5,captions/CV/CAP_00000204.png
CAP_00000205,FIG_00000205,2605.30347v1,CV,7,captions/CV/CAP_00000205.png
CAP_00000206,FIG_00000206,2605.30347v1,CV,7,captions/CV/CAP_00000206.png
CAP_00000207,FIG_00000207,2605.30347v1,CV,8,captions/CV/CAP_00000207.png
CAP_00000208,FIG_00000208,2605.30347v1,CV,8,captions/CV/CAP_00000208.png
CAP_00000209,FIG_00000209,2605.30347v1,CV,8,captions/CV/CAP_00000209.png
CAP_00000210,FIG_00000210,2605.30346v1,CV,1,captions/CV/CAP_00000210.png
CAP_00000211,FIG_00000211,2605.30346v1,CV,1,captions/CV/CAP_00000211.png
CAP_00000212,FIG_00000212,2605.30346v1,CV,2,captions/CV/CAP_00000212.png
CAP_00000213,FIG_00000213,2605.30346v1,CV,5,captions/CV/CAP_00000213.png
CAP_00000214,FIG_00000214,2605.30346v1,CV,5,captions/CV/CAP_00000214.png
CAP_00000215,FIG_00000215,2605.30346v1,CV,7,captions/CV/CAP_00000215.png
CAP_00000216,FIG_00000216,2605.30346v1,CV,7,captions/CV/CAP_00000216.png
CAP_00000217,FIG_00000217,2605.30346v1,CV,7,captions/CV/CAP_00000217.png
CAP_00000218,FIG_00000218,2605.30346v1,CV,8,captions/CV/CAP_00000218.png
CAP_00000219,FIG_00000219,2605.30346v1,CV,9,captions/CV/CAP_00000219.png
CAP_00000220,FIG_00000220,2605.30346v1,CV,12,captions/CV/CAP_00000220.png
CAP_00000221,FIG_00000221,2605.30346v1,CV,17,captions/CV/CAP_00000221.png
CAP_00000222,FIG_00000222,2605.30346v1,CV,20,captions/CV/CAP_00000222.png
CAP_00000223,FIG_00000223,2605.30346v1,CV,21,captions/CV/CAP_00000223.png
CAP_00000224,FIG_00000224,2605.30346v1,CV,24,captions/CV/CAP_00000224.png
CAP_00000225,FIG_00000225,2605.30342v1,CV,1,captions/CV/CAP_00000225.png
CAP_00000226,FIG_00000226,2605.30342v1,CV,2,captions/CV/CAP_00000226.png
CAP_00000227,FIG_00000227,2605.30342v1,CV,4,captions/CV/CAP_00000227.png
CAP_00000228,FIG_00000228,2605.30342v1,CV,4,captions/CV/CAP_00000228.png
CAP_00000229,FIG_00000229,2605.30342v1,CV,8,captions/CV/CAP_00000229.png
CAP_00000230,FIG_00000230,2605.30342v1,CV,8,captions/CV/CAP_00000230.png
CAP_00000231,FIG_00000231,2605.30342v1,CV,8,captions/CV/CAP_00000231.png
CAP_00000232,FIG_00000232,2605.30342v1,CV,15,captions/CV/CAP_00000232.png
CAP_00000233,FIG_00000233,2605.30342v1,CV,26,captions/CV/CAP_00000233.png
CAP_00000234,FIG_00000234,2605.30342v1,CV,27,captions/CV/CAP_00000234.png
CAP_00000235,FIG_00000235,2605.30339v1,CV,1,captions/CV/CAP_00000235.png
CAP_00000236,FIG_00000236,2605.30339v1,CV,4,captions/CV/CAP_00000236.png
CAP_00000237,FIG_00000237,2605.30339v1,CV,13,captions/CV/CAP_00000237.png
CAP_00000238,FIG_00000238,2605.30339v1,CV,14,captions/CV/CAP_00000238.png
CAP_00000239,FIG_00000239,2605.30339v1,CV,14,captions/CV/CAP_00000239.png
CAP_00000240,FIG_00000240,2605.30339v1,CV,14,captions/CV/CAP_00000240.png
CAP_00000241,FIG_00000241,2605.30339v1,CV,16,captions/CV/CAP_00000241.png
CAP_00000242,FIG_00000242,2605.30339v1,CV,16,captions/CV/CAP_00000242.png
CAP_00000243,FIG_00000243,2605.30339v1,CV,16,captions/CV/CAP_00000243.png
CAP_00000244,FIG_00000244,2605.30339v1,CV,17,captions/CV/CAP_00000244.png
CAP_00000245,FIG_00000245,2605.30339v1,CV,22,captions/CV/CAP_00000245.png
CAP_00000246,FIG_00000246,2605.30339v1,CV,22,captions/CV/CAP_00000246.png
CAP_00000247,FIG_00000247,2605.30338v1,CV,1,captions/CV/CAP_00000247.png
CAP_00000248,FIG_00000248,2605.30338v1,CV,4,captions/CV/CAP_00000248.png
CAP_00000249,FIG_00000249,2605.30338v1,CV,7,captions/CV/CAP_00000249.png
CAP_00000250,FIG_00000250,2605.30338v1,CV,7,captions/CV/CAP_00000250.png
CAP_00000251,FIG_00000251,2605.30338v1,CV,8,captions/CV/CAP_00000251.png
CAP_00000252,FIG_00000252,2605.30338v1,CV,9,captions/CV/CAP_00000252.png
CAP_00000253,FIG_00000253,2605.30338v1,CV,10,captions/CV/CAP_00000253.png
CAP_00000254,FIG_00000254,2605.30338v1,CV,14,captions/CV/CAP_00000254.png
CAP_00000255,FIG_00000255,2605.30338v1,CV,16,captions/CV/CAP_00000255.png
CAP_00000256,FIG_00000256,2605.30338v1,CV,16,captions/CV/CAP_00000256.png
CAP_00000257,FIG_00000257,2605.30338v1,CV,18,captions/CV/CAP_00000257.png
CAP_00000258,FIG_00000258,2605.30338v1,CV,18,captions/CV/CAP_00000258.png
CAP_00000259,FIG_00000259,2605.30338v1,CV,19,captions/CV/CAP_00000259.png
CAP_00000260,FIG_00000260,2605.30338v1,CV,21,captions/CV/CAP_00000260.png
CAP_00000261,FIG_00000261,2605.30338v1,CV,22,captions/CV/CAP_00000261.png
CAP_00000262,FIG_00000262,2605.30338v1,CV,23,captions/CV/CAP_00000262.png
CAP_00000263,FIG_00000263,2605.30338v1,CV,24,captions/CV/CAP_00000263.png
CAP_00000264,FIG_00000264,2605.30332v1,CV,2,captions/CV/CAP_00000264.png
CAP_00000265,FIG_00000265,2605.30332v1,CV,4,captions/CV/CAP_00000265.png
CAP_00000266,FIG_00000266,2605.30332v1,CV,5,captions/CV/CAP_00000266.png
CAP_00000267,FIG_00000267,2605.30332v1,CV,6,captions/CV/CAP_00000267.png
CAP_00000268,FIG_00000268,2605.30332v1,CV,7,captions/CV/CAP_00000268.png
CAP_00000269,FIG_00000269,2605.30332v1,CV,9,captions/CV/CAP_00000269.png
CAP_00000270,FIG_00000270,2605.30332v1,CV,30,captions/CV/CAP_00000270.png
CAP_00000271,FIG_00000271,2605.30332v1,CV,31,captions/CV/CAP_00000271.png
CAP_00000272,FIG_00000272,2605.30326v1,ROBOTICS,2,captions/ROBOTICS/CAP_00000272.png
CAP_00000273,FIG_00000273,2605.30326v1,ROBOTICS,4,captions/ROBOTICS/CAP_00000273.png
CAP_00000274,FIG_00000274,2605.30326v1,ROBOTICS,5,captions/ROBOTICS/CAP_00000274.png
CAP_00000275,FIG_00000275,2605.30326v1,ROBOTICS,6,captions/ROBOTICS/CAP_00000275.png
CAP_00000276,FIG_00000276,2605.30326v1,ROBOTICS,7,captions/ROBOTICS/CAP_00000276.png
CAP_00000277,FIG_00000277,2605.30326v1,ROBOTICS,7,captions/ROBOTICS/CAP_00000277.png
CAP_00000278,FIG_00000278,2605.30326v1,ROBOTICS,7,captions/ROBOTICS/CAP_00000278.png
CAP_00000279,FIG_00000279,2605.30326v1,ROBOTICS,9,captions/ROBOTICS/CAP_00000279.png
CAP_00000280,FIG_00000280,2605.30326v1,ROBOTICS,13,captions/ROBOTICS/CAP_00000280.png
CAP_00000281,FIG_00000281,2605.30326v1,ROBOTICS,17,captions/ROBOTICS/CAP_00000281.png
CAP_00000282,FIG_00000282,2605.30313v1,ROBOTICS,1,captions/ROBOTICS/CAP_00000282.png
CAP_00000283,FIG_00000283,2605.30313v1,ROBOTICS,4,captions/ROBOTICS/CAP_00000283.png
CAP_00000284,FIG_00000284,2605.30313v1,ROBOTICS,4,captions/ROBOTICS/CAP_00000284.png
CAP_00000285,FIG_00000285,2605.30313v1,ROBOTICS,6,captions/ROBOTICS/CAP_00000285.png
CAP_00000286,FIG_00000286,2605.30313v1,ROBOTICS,6,captions/ROBOTICS/CAP_00000286.png
CAP_00000287,FIG_00000287,2605.30313v1,ROBOTICS,7,captions/ROBOTICS/CAP_00000287.png
CAP_00000288,FIG_00000288,2605.30313v1,ROBOTICS,7,captions/ROBOTICS/CAP_00000288.png
CAP_00000289,FIG_00000289,2605.30313v1,ROBOTICS,8,captions/ROBOTICS/CAP_00000289.png
CAP_00000290,FIG_00000290,2605.30313v1,ROBOTICS,13,captions/ROBOTICS/CAP_00000290.png
CAP_00000291,FIG_00000291,2605.30313v1,ROBOTICS,13,captions/ROBOTICS/CAP_00000291.png
CAP_00000292,FIG_00000292,2605.30313v1,ROBOTICS,15,captions/ROBOTICS/CAP_00000292.png
CAP_00000293,FIG_00000293,2605.30313v1,ROBOTICS,15,captions/ROBOTICS/CAP_00000293.png
CAP_00000294,FIG_00000294,2605.30282v1,ROBOTICS,2,captions/ROBOTICS/CAP_00000294.png
CAP_00000295,FIG_00000295,2605.30282v1,ROBOTICS,4,captions/ROBOTICS/CAP_00000295.png
CAP_00000296,FIG_00000296,2605.30282v1,ROBOTICS,8,captions/ROBOTICS/CAP_00000296.png
CAP_00000297,FIG_00000297,2605.30282v1,ROBOTICS,9,captions/ROBOTICS/CAP_00000297.png
CAP_00000298,FIG_00000298,2605.30282v1,ROBOTICS,10,captions/ROBOTICS/CAP_00000298.png
CAP_00000299,FIG_00000299,2605.30280v1,ROBOTICS,1,captions/ROBOTICS/CAP_00000299.png
CAP_00000300,FIG_00000300,2605.30280v1,ROBOTICS,6,captions/ROBOTICS/CAP_00000300.png
CAP_00000301,FIG_00000301,2605.30280v1,ROBOTICS,11,captions/ROBOTICS/CAP_00000301.png
CAP_00000302,FIG_00000302,2605.30280v1,ROBOTICS,17,captions/ROBOTICS/CAP_00000302.png
