figure_id,paper_id,field,category,page,image_path,figure_x1,figure_y1,figure_x2,figure_y2,caption_x1,caption_y1,caption_x2,caption_y2
FIG_00000035,2605.30343v1,AI,cs.AI,2,figures/AI/FIG_00000035.png,635.29,965.03,1007.25,1257.71,634.01,1269.23,1013.22,1445.67
FIG_00000036,2605.30343v1,AI,cs.AI,5,figures/AI/FIG_00000036.png,213.54,1152.64,1009.78,1358.88,212.2,1371.67,1010.9,1439.73
FIG_00000037,2605.30343v1,AI,cs.AI,6,figures/AI/FIG_00000037.png,211.6,981.66,1007.45,1335.01,212.82,1350.0,1013.2,1438.76
FIG_00000038,2605.30343v1,AI,cs.AI,8,figures/AI/FIG_00000038.png,218.39,140.62,1004.47,476.67,212.69,490.52,1012.46,556.16
FIG_00000039,2605.30343v1,AI,cs.AI,10,figures/AI/FIG_00000039.png,216.32,142.92,1008.81,517.24,212.75,528.65,1012.38,616.17
FIG_00000040,2605.30343v1,AI,cs.AI,10,figures/AI/FIG_00000040.png,218.27,144.65,604.99,514.19,212.75,528.65,1012.38,616.17
FIG_00000041,2605.30343v1,AI,cs.AI,16,figures/AI/FIG_00000041.png,444.43,1136.36,777.89,1380.85,211.37,1394.44,1012.11,1439.61
FIG_00000042,2605.30343v1,AI,cs.AI,17,figures/AI/FIG_00000042.png,214.87,139.84,1012.07,805.2,253.84,819.11,995.88,864.52
FIG_00000043,2605.30343v1,AI,cs.AI,17,figures/AI/FIG_00000043.png,646.37,1126.48,1004.26,1408.99,653.46,1422.97,997.26,1445.31
FIG_00000044,2605.30343v1,AI,cs.AI,18,figures/AI/FIG_00000044.png,210.84,141.61,1010.96,855.36,212.71,867.22,1011.25,956.07
FIG_00000045,2605.30343v1,AI,cs.AI,18,figures/AI/FIG_00000045.png,210.95,142.96,1007.68,460.2,212.71,867.22,1011.25,956.07
FIG_00000046,2605.30343v1,AI,cs.AI,18,figures/AI/FIG_00000046.png,211.15,509.29,1007.98,854.39,212.71,867.22,1011.25,956.07
FIG_00000047,2605.30343v1,AI,cs.AI,20,figures/AI/FIG_00000047.png,217.35,1043.44,1006.44,1381.1,210.98,1394.4,1012.54,1439.53
FIG_00000048,2605.30343v1,AI,cs.AI,21,figures/AI/FIG_00000048.png,216.06,141.42,1008.47,331.99,212.86,343.07,1010.5,411.04
FIG_00000049,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000049.png,533.58,449.4,847.4,659.17,539.08,666.86,819.94,702.3
FIG_00000050,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000050.png,216.32,158.76,530.09,396.29,220.73,403.27,521.71,663.54
FIG_00000051,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000051.png,216.56,684.51,530.18,1000.51,221.78,1008.88,517.21,1044.58
FIG_00000052,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000052.png,216.19,1065.6,529.82,1293.98,220.35,1300.54,521.83,1374.37
FIG_00000053,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000053.png,532.8,157.15,849.45,371.97,537.55,378.9,835.84,432.38
FIG_00000054,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000054.png,852.2,778.83,1007.05,947.22,855.29,1282.21,1000.84,1374.99
FIG_00000055,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000055.png,534.18,718.17,848.5,838.16,538.3,844.02,828.85,937.5
FIG_00000056,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000056.png,853.51,158.3,1006.66,515.02,855.29,1282.21,1000.84,1374.99
FIG_00000057,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000057.png,533.56,953.01,688.8,1109.78,537.66,1116.56,678.94,1209.59
FIG_00000058,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000058.png,692.6,952.84,848.4,1109.79,696.93,1116.54,825.95,1209.24
FIG_00000059,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000059.png,851.75,1176.08,1007.14,1274.93,855.29,1282.21,1000.84,1374.99
FIG_00000060,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000060.png,692.61,1226.4,848.31,1330.21,222.29,1401.98,998.52,1426.43
FIG_00000061,2605.30341v1,AI,cs.AI,2,figures/AI/FIG_00000061.png,533.19,1225.82,690.36,1331.35,222.29,1401.98,998.52,1426.43
FIG_00000062,2605.30341v1,AI,cs.AI,3,figures/AI/FIG_00000062.png,226.02,918.37,993.67,1306.01,212.28,1323.76,1012.95,1436.15
FIG_00000063,2605.30341v1,AI,cs.AI,4,figures/AI/FIG_00000063.png,223.61,235.5,998.94,412.47,212.29,431.14,1010.65,541.42
FIG_00000064,2605.30341v1,AI,cs.AI,4,figures/AI/FIG_00000064.png,224.15,905.0,459.94,1139.99,214.67,1146.17,471.54,1212.48
FIG_00000065,2605.30341v1,AI,cs.AI,5,figures/AI/FIG_00000065.png,224.78,137.27,998.65,496.0,213.27,503.79,1011.44,658.15
FIG_00000066,2605.30341v1,AI,cs.AI,5,figures/AI/FIG_00000066.png,651.2,793.94,990.97,1098.68,634.05,1106.98,1012.33,1262.26
FIG_00000067,2605.30341v1,AI,cs.AI,6,figures/AI/FIG_00000067.png,219.8,1136.66,997.31,1337.7,213.52,1342.42,1011.93,1453.4
FIG_00000068,2605.30341v1,AI,cs.AI,7,figures/AI/FIG_00000068.png,229.27,142.86,995.89,265.53,213.23,285.6,1012.87,374.44
FIG_00000069,2605.30341v1,AI,cs.AI,8,figures/AI/FIG_00000069.png,237.3,132.42,981.99,353.21,213.63,360.67,1011.74,515.76
FIG_00000070,2605.30341v1,AI,cs.AI,9,figures/AI/FIG_00000070.png,700.45,364.25,996.11,573.46,688.82,583.56,1012.9,693.73
FIG_00000071,2605.30341v1,AI,cs.AI,9,figures/AI/FIG_00000071.png,212.21,721.57,1011.0,1242.19,213.78,1260.96,1011.9,1393.47
FIG_00000072,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000072.png,693.15,559.84,1006.7,767.99,697.61,775.11,988.68,886.32
FIG_00000073,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000073.png,216.63,158.96,689.16,274.04,221.19,279.94,673.32,503.88
FIG_00000074,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000074.png,215.82,522.21,528.82,952.77,220.96,958.52,522.63,1089.4
FIG_00000075,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000075.png,703.55,158.84,995.19,454.79,698.18,464.05,982.97,538.61
FIG_00000076,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000076.png,215.82,1117.89,529.63,1329.08,222.2,1334.97,497.08,1372.22
FIG_00000077,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000077.png,692.53,905.87,848.14,1066.4,350.73,1403.14,872.07,1426.41
FIG_00000078,2605.30341v1,AI,cs.AI,15,figures/AI/FIG_00000078.png,691.9,1205.86,848.27,1312.33,350.73,1403.14,872.07,1426.41
FIG_00000079,2605.30341v1,AI,cs.AI,17,figures/AI/FIG_00000079.png,218.53,150.71,1003.43,613.7,235.59,635.16,970.79,658.28
FIG_00000080,2605.30341v1,AI,cs.AI,17,figures/AI/FIG_00000080.png,216.31,684.89,1008.06,869.47,283.37,888.55,938.53,911.82
FIG_00000081,2605.30341v1,AI,cs.AI,18,figures/AI/FIG_00000081.png,313.09,216.47,910.22,818.11,295.0,834.1,927.13,858.79
FIG_00000082,2605.30341v1,AI,cs.AI,18,figures/AI/FIG_00000082.png,212.75,993.6,1009.16,1334.76,212.86,1351.06,1011.29,1418.49
FIG_00000083,2605.30341v1,AI,cs.AI,19,figures/AI/FIG_00000083.png,216.69,413.07,1005.26,605.1,214.66,609.92,671.91,670.01
FIG_00000084,2605.30335v1,AI,cs.AI,1,figures/AI/FIG_00000084.png,614.46,385.77,1075.48,610.06,612.82,618.64,1085.64,778.66
FIG_00000085,2605.30335v1,AI,cs.AI,7,figures/AI/FIG_00000085.png,115.73,141.37,1070.37,455.96,108.38,471.84,1086.98,553.02
FIG_00000086,2605.30335v1,AI,cs.AI,13,figures/AI/FIG_00000086.png,121.5,736.74,1073.27,1174.81,106.59,1194.53,1086.96,1238.57
FIG_00000087,2605.30335v1,AI,cs.AI,15,figures/AI/FIG_00000087.png,287.67,374.47,901.85,861.06,107.76,873.37,1086.64,935.13
FIG_00000088,2605.30335v1,AI,cs.AI,18,figures/AI/FIG_00000088.png,414.48,654.69,779.78,877.72,107.63,888.1,1086.42,931.4
FIG_00000089,2605.30335v1,AI,cs.AI,19,figures/AI/FIG_00000089.png,317.4,265.98,875.61,459.64,107.8,468.0,1086.4,528.56
FIG_00000090,2605.30335v1,AI,cs.AI,23,figures/AI/FIG_00000090.png,287.29,964.92,906.38,1323.84,107.65,1336.26,1087.21,1418.79
FIG_00000091,2605.30334v1,AI,cs.AI,1,figures/AI/FIG_00000091.png,610.84,439.21,1048.71,734.28,610.14,752.4,1053.7,990.82
FIG_00000092,2605.30334v1,AI,cs.AI,4,figures/AI/FIG_00000092.png,613.05,773.56,1041.4,1051.66,610.46,1074.42,1051.92,1144.91
FIG_00000093,2605.30334v1,AI,cs.AI,6,figures/AI/FIG_00000093.png,698.89,929.28,952.11,1131.11,609.93,1142.46,1050.25,1189.27
FIG_00000094,2605.30334v1,AI,cs.AI,6,figures/AI/FIG_00000094.png,147.69,925.22,569.98,1136.23,139.8,1152.93,581.52,1198.89
FIG_00000095,2605.30334v1,AI,cs.AI,7,figures/AI/FIG_00000095.png,634.28,140.22,1020.94,333.55,609.75,348.66,1050.46,395.58
FIG_00000096,2605.30334v1,AI,cs.AI,7,figures/AI/FIG_00000096.png,235.37,199.49,475.62,390.37,139.9,402.63,582.23,449.27
FIG_00000097,2605.30334v1,AI,cs.AI,8,figures/AI/FIG_00000097.png,161.39,405.22,1018.61,653.81,141.1,681.65,1051.09,729.96
FIG_00000098,2605.30327v1,AI,cs.AI,2,figures/AI/FIG_00000098.png,142.96,140.92,1069.3,493.85,141.92,522.76,1083.74,686.7
FIG_00000099,2605.30327v1,AI,cs.AI,9,figures/AI/FIG_00000099.png,364.21,386.33,852.43,681.02,141.31,696.63,1084.42,806.45
FIG_00000100,2605.30327v1,AI,cs.AI,12,figures/AI/FIG_00000100.png,156.42,153.13,1067.14,447.9,141.19,500.98,1084.15,611.05
FIG_00000101,2605.30327v1,AI,cs.AI,29,figures/AI/FIG_00000101.png,155.44,153.17,1068.56,702.58,140.82,731.41,1083.05,786.94
FIG_00000102,2605.30327v1,AI,cs.AI,30,figures/AI/FIG_00000102.png,155.01,152.45,1068.43,702.12,140.09,731.05,1083.79,787.36
FIG_00000103,2605.30327v1,AI,cs.AI,30,figures/AI/FIG_00000103.png,424.6,813.42,801.64,1051.38,141.04,1072.11,1084.31,1153.4
FIG_00000104,2605.30327v1,AI,cs.AI,31,figures/AI/FIG_00000104.png,424.71,512.62,801.03,755.76,140.77,774.66,1087.12,858.06
FIG_00000105,2605.30327v1,AI,cs.AI,31,figures/AI/FIG_00000105.png,424.3,885.09,799.08,1122.34,139.81,1146.42,1085.76,1229.88
FIG_00000106,2605.30327v1,AI,cs.AI,31,figures/AI/FIG_00000106.png,424.86,145.37,801.14,383.88,140.2,404.82,1085.31,486.79
FIG_00000107,2605.30350v1,ML,cs.LG,1,figures/ML/FIG_00000107.png,211.45,543.1,1002.58,881.66,213.31,900.83,1011.41,1001.4
FIG_00000108,2605.30350v1,ML,cs.LG,1,figures/ML/FIG_00000108.png,596.38,548.97,1000.58,875.6,213.31,900.83,1011.41,1001.4
FIG_00000109,2605.30350v1,ML,cs.LG,1,figures/ML/FIG_00000109.png,213.92,551.64,597.02,879.95,213.31,900.83,1011.41,1001.4
FIG_00000110,2605.30350v1,ML,cs.LG,3,figures/ML/FIG_00000110.png,216.07,149.48,1009.62,470.81,213.85,484.57,1010.05,626.2
FIG_00000111,2605.30350v1,ML,cs.LG,4,figures/ML/FIG_00000111.png,217.33,143.9,1007.74,322.39,212.6,340.15,1011.81,442.27
FIG_00000112,2605.30350v1,ML,cs.LG,6,figures/ML/FIG_00000112.png,217.62,144.47,1003.64,361.41,213.76,378.03,1009.96,479.09
FIG_00000113,2605.30350v1,ML,cs.LG,6,figures/ML/FIG_00000113.png,216.06,499.73,1002.81,669.44,213.34,672.57,1010.89,753.14
FIG_00000114,2605.30350v1,ML,cs.LG,8,figures/ML/FIG_00000114.png,213.79,149.5,1007.57,582.74,213.5,600.26,1012.12,682.17
FIG_00000115,2605.30350v1,ML,cs.LG,19,figures/ML/FIG_00000115.png,414.46,500.06,809.86,895.97,213.16,909.72,1011.41,951.28
FIG_00000116,2605.30350v1,ML,cs.LG,20,figures/ML/FIG_00000116.png,215.24,140.62,1001.07,435.93,213.22,446.39,1011.2,567.51
FIG_00000117,2605.30350v1,ML,cs.LG,23,figures/ML/FIG_00000117.png,417.29,459.41,809.29,824.95,229.81,842.84,970.59,864.12
FIG_00000118,2605.30350v1,ML,cs.LG,25,figures/ML/FIG_00000118.png,295.62,118.38,912.28,1376.62,211.7,1388.77,1011.82,1429.07
FIG_00000119,2605.30350v1,ML,cs.LG,26,figures/ML/FIG_00000119.png,212.69,147.46,1010.7,1334.19,213.3,1354.28,1013.12,1437.12
FIG_00000120,2605.30337v1,ML,cs.LG,2,figures/ML/FIG_00000120.png,242.96,150.45,962.55,393.56,213.77,412.0,1011.1,522.9
FIG_00000121,2605.30337v1,ML,cs.LG,6,figures/ML/FIG_00000121.png,253.72,141.08,967.92,352.38,213.19,364.88,1010.82,540.44
FIG_00000122,2605.30337v1,ML,cs.LG,7,figures/ML/FIG_00000122.png,253.71,142.62,968.98,780.99,212.07,791.45,1011.88,858.69
FIG_00000123,2605.30337v1,ML,cs.LG,7,figures/ML/FIG_00000123.png,650.53,1082.18,1004.81,1261.76,648.57,1275.85,1012.35,1407.48
FIG_00000124,2605.30337v1,ML,cs.LG,8,figures/ML/FIG_00000124.png,218.13,396.13,655.04,681.94,213.28,698.43,660.86,743.32
FIG_00000125,2605.30337v1,ML,cs.LG,9,figures/ML/FIG_00000125.png,250.99,141.85,970.14,304.27,212.74,316.34,1013.38,405.28
FIG_00000126,2605.30337v1,ML,cs.LG,9,figures/ML/FIG_00000126.png,295.81,425.74,937.28,628.75,213.22,671.89,1012.44,760.07
FIG_00000127,2605.30337v1,ML,cs.LG,17,figures/ML/FIG_00000127.png,219.69,815.62,1005.17,1210.77,213.14,1227.21,1012.53,1273.49
FIG_00000128,2605.30337v1,ML,cs.LG,18,figures/ML/FIG_00000128.png,216.27,228.01,1004.62,480.31,212.12,494.02,1011.65,538.92
FIG_00000129,2605.30337v1,ML,cs.LG,18,figures/ML/FIG_00000129.png,216.35,834.69,1004.98,1085.4,212.34,1100.06,1012.1,1188.97
FIG_00000130,2605.30337v1,ML,cs.LG,19,figures/ML/FIG_00000130.png,216.4,142.82,1000.91,438.36,213.31,454.07,1010.84,520.68
FIG_00000131,2605.30337v1,ML,cs.LG,20,figures/ML/FIG_00000131.png,216.34,143.02,1006.13,438.83,211.8,454.66,1009.55,479.95
FIG_00000132,2605.30337v1,ML,cs.LG,21,figures/ML/FIG_00000132.png,215.23,143.67,1009.53,852.52,213.23,862.55,1010.83,929.85
FIG_00000133,2605.30337v1,ML,cs.LG,22,figures/ML/FIG_00000133.png,214.8,144.25,1009.69,852.45,213.16,862.47,1010.97,929.82
FIG_00000134,2605.30337v1,ML,cs.LG,23,figures/ML/FIG_00000134.png,226.1,150.14,998.04,545.99,212.89,570.59,1011.68,659.94
FIG_00000135,2605.30337v1,ML,cs.LG,24,figures/ML/FIG_00000135.png,231.4,139.11,999.61,648.9,213.0,708.58,1013.11,798.92
FIG_00000136,2605.30336v1,ML,cs.LG,5,figures/ML/FIG_00000136.png,633.08,207.39,1108.18,629.73,624.05,642.42,1115.99,689.82
FIG_00000137,2605.30336v1,ML,cs.LG,5,figures/ML/FIG_00000137.png,629.45,722.76,1111.49,1097.71,624.66,1109.22,1117.05,1228.92
FIG_00000138,2605.30330v1,ML,cs.LG,10,figures/ML/FIG_00000138.png,216.91,152.81,994.22,403.26,212.26,409.18,1011.88,499.73
FIG_00000139,2605.30330v1,ML,cs.LG,11,figures/ML/FIG_00000139.png,217.71,142.01,1010.95,563.2,212.85,572.87,1011.47,705.98
FIG_00000140,2605.30330v1,ML,cs.LG,11,figures/ML/FIG_00000140.png,216.75,744.01,1000.91,997.05,212.61,1020.24,1012.12,1088.27
FIG_00000141,2605.30330v1,ML,cs.LG,12,figures/ML/FIG_00000141.png,286.19,142.34,921.44,907.7,213.7,929.74,1011.43,1149.54
FIG_00000142,2605.30330v1,ML,cs.LG,47,figures/ML/FIG_00000142.png,246.29,673.4,969.38,1216.78,212.18,1232.75,1013.51,1387.08
FIG_00000143,2605.30330v1,ML,cs.LG,47,figures/ML/FIG_00000143.png,244.0,144.11,975.43,318.35,212.33,334.88,1011.6,380.38
FIG_00000144,2605.30330v1,ML,cs.LG,48,figures/ML/FIG_00000144.png,247.28,629.42,968.78,954.21,212.22,969.21,1012.27,1083.2
FIG_00000145,2605.30330v1,ML,cs.LG,48,figures/ML/FIG_00000145.png,243.17,144.12,975.61,318.37,212.45,335.06,1010.82,379.99
FIG_00000146,2605.30330v1,ML,cs.LG,49,figures/ML/FIG_00000146.png,246.82,628.65,969.39,1173.1,212.17,1188.69,1011.9,1300.28
FIG_00000147,2605.30330v1,ML,cs.LG,49,figures/ML/FIG_00000147.png,243.42,144.16,975.73,318.32,211.94,335.4,1010.9,379.82
FIG_00000148,2605.30330v1,ML,cs.LG,50,figures/ML/FIG_00000148.png,246.49,649.29,969.64,1192.08,212.39,1209.0,1013.62,1321.15
FIG_00000149,2605.30330v1,ML,cs.LG,50,figures/ML/FIG_00000149.png,242.99,143.9,975.71,318.35,212.33,335.03,1010.93,380.31
FIG_00000150,2605.30330v1,ML,cs.LG,51,figures/ML/FIG_00000150.png,246.66,645.89,969.17,1187.84,212.7,1205.04,1015.03,1272.89
FIG_00000151,2605.30330v1,ML,cs.LG,51,figures/ML/FIG_00000151.png,243.22,144.12,976.6,318.44,212.21,334.96,1011.22,380.27
FIG_00000152,2605.30330v1,ML,cs.LG,51,figures/ML/FIG_00000152.png,243.16,144.13,976.39,318.86,212.21,334.96,1011.22,380.27
FIG_00000153,2605.30330v1,ML,cs.LG,52,figures/ML/FIG_00000153.png,246.64,627.9,969.26,1171.87,212.15,1186.69,1012.37,1276.53
FIG_00000154,2605.30330v1,ML,cs.LG,52,figures/ML/FIG_00000154.png,243.91,143.22,975.23,318.58,212.24,334.9,1013.91,380.51
FIG_00000155,2605.30330v1,ML,cs.LG,53,figures/ML/FIG_00000155.png,246.08,671.69,969.43,1214.34,212.71,1230.69,1012.11,1343.14
FIG_00000156,2605.30330v1,ML,cs.LG,53,figures/ML/FIG_00000156.png,243.81,143.48,975.59,318.65,212.22,335.23,1011.34,402.26
FIG_00000157,2605.30330v1,ML,cs.LG,54,figures/ML/FIG_00000157.png,243.7,143.16,975.46,318.61,212.25,335.09,1011.85,402.02
FIG_00000158,2605.30330v1,ML,cs.LG,54,figures/ML/FIG_00000158.png,246.59,649.56,969.29,1191.78,212.41,1209.05,1012.38,1298.33
FIG_00000159,2605.30330v1,ML,cs.LG,54,figures/ML/FIG_00000159.png,247.31,649.06,969.37,1191.79,212.41,1209.05,1012.38,1298.33
FIG_00000160,2605.30330v1,ML,cs.LG,55,figures/ML/FIG_00000160.png,246.75,646.18,969.35,1187.51,212.76,1204.97,1012.24,1272.87
FIG_00000161,2605.30330v1,ML,cs.LG,55,figures/ML/FIG_00000161.png,243.54,143.06,975.93,318.65,212.38,335.04,1012.35,400.79
FIG_00000162,2605.30329v1,ML,cs.LG,3,figures/ML/FIG_00000162.png,125.75,186.72,1097.46,531.45,104.04,550.34,1120.61,647.7
FIG_00000163,2605.30329v1,ML,cs.LG,4,figures/ML/FIG_00000163.png,137.16,171.57,1086.31,872.65,104.29,895.23,1120.82,1016.18
FIG_00000164,2605.30329v1,ML,cs.LG,7,figures/ML/FIG_00000164.png,128.25,167.06,1092.76,911.34,105.55,927.12,1118.31,1000.34
FIG_00000165,2605.30329v1,ML,cs.LG,9,figures/ML/FIG_00000165.png,105.0,164.66,1116.75,531.36,104.51,547.93,1120.56,644.43
FIG_00000166,2605.30329v1,ML,cs.LG,11,figures/ML/FIG_00000166.png,128.45,166.53,1094.0,909.48,105.36,920.19,1119.81,1017.17
FIG_00000167,2605.30329v1,ML,cs.LG,25,figures/ML/FIG_00000167.png,333.36,168.83,878.07,762.01,105.32,782.21,1120.44,855.87
FIG_00000168,2605.30329v1,ML,cs.LG,29,figures/ML/FIG_00000168.png,117.95,726.96,1103.25,807.1,105.18,1317.43,1119.52,1367.46
FIG_00000169,2605.30329v1,ML,cs.LG,29,figures/ML/FIG_00000169.png,133.53,1104.8,156.71,1127.57,105.18,1317.43,1119.52,1367.46
FIG_00000170,2605.30329v1,ML,cs.LG,29,figures/ML/FIG_00000170.png,291.65,1099.74,321.26,1130.69,105.18,1317.43,1119.52,1367.46
FIG_00000171,2605.30329v1,ML,cs.LG,30,figures/ML/FIG_00000171.png,295.02,255.87,324.09,285.1,104.13,806.07,1117.94,854.72
FIG_00000172,2605.30329v1,ML,cs.LG,30,figures/ML/FIG_00000172.png,124.19,980.0,1094.16,1321.65,104.75,1342.43,1118.64,1392.15
FIG_00000173,2605.30329v1,ML,cs.LG,31,figures/ML/FIG_00000173.png,130.28,1087.8,154.29,1112.32,105.61,1323.07,1118.62,1372.82
FIG_00000174,2605.30329v1,ML,cs.LG,32,figures/ML/FIG_00000174.png,295.56,241.51,324.72,271.65,104.27,749.17,1118.02,798.06
FIG_00000175,2605.30329v1,ML,cs.LG,32,figures/ML/FIG_00000175.png,306.32,941.98,335.13,970.9,105.41,1343.9,1117.64,1394.21
FIG_00000176,2605.30329v1,ML,cs.LG,33,figures/ML/FIG_00000176.png,118.5,718.21,1103.11,809.17,105.43,1316.42,1119.3,1366.23
FIG_00000177,2605.30329v1,ML,cs.LG,33,figures/ML/FIG_00000177.png,133.13,1104.42,156.69,1127.39,105.43,1316.42,1119.3,1366.23
FIG_00000178,2605.30329v1,ML,cs.LG,33,figures/ML/FIG_00000178.png,291.73,1099.73,321.19,1130.58,105.43,1316.42,1119.3,1366.23
FIG_00000179,2605.30329v1,ML,cs.LG,34,figures/ML/FIG_00000179.png,130.29,237.98,1088.68,779.98,104.76,818.53,1118.17,868.03
