query_index,candidate_index,query_figure_id,candidate_figure_id,query_paper_id,candidate_paper_id,query_field,candidate_field,similarity,rank
85,30859,FIG_00000086,FIG_00030860,2605.30335v1,2603.11476v1,AI,BIOINFO,0.9552841186523438,15
85,24318,FIG_00000086,FIG_00024319,2605.30335v1,2605.16154v1,AI,ROBOTICS,0.9551734328269958,16
85,3261,FIG_00000086,FIG_00003262,2605.30335v1,2605.28295v1,AI,AI,0.9548070430755615,17
85,7625,FIG_00000086,FIG_00007626,2605.30335v1,2605.30612v1,AI,ML,0.9546360969543457,18
85,6955,FIG_00000086,FIG_00006956,2605.30335v1,2605.31111v1,AI,ML,0.9545170664787292,19
85,24921,FIG_00000086,FIG_00024922,2605.30335v1,2605.14411v1,AI,ROBOTICS,0.9538992643356323,20
88,14826,FIG_00000089,FIG_00014827,2605.30335v1,2605.15671v1,AI,IMAGING,0.9602421522140503,1
88,11091,FIG_00000089,FIG_00011092,2605.30335v1,2605.26533v1,AI,ML,0.9535301327705383,2
89,6027,FIG_00000090,FIG_00006028,2605.30335v1,2605.30719v1,AI,AI,0.9642943739891052,1
89,26743,FIG_00000090,FIG_00026744,2605.30335v1,2605.09376v1,AI,ROBOTICS,0.9575124979019165,2
89,11092,FIG_00000090,FIG_00011093,2605.30335v1,2605.26533v1,AI,ML,0.9562900066375732,3
89,29447,FIG_00000090,FIG_00029448,2605.30335v1,2605.05259v1,AI,BIOINFO,0.9534176588058472,4
89,1704,FIG_00000090,FIG_00001705,2605.30335v1,2605.29448v1,AI,AI,0.951687216758728,5
89,1702,FIG_00000090,FIG_00001703,2605.30335v1,2605.29448v1,AI,AI,0.9511257410049438,6
89,19045,FIG_00000090,FIG_00019046,2605.30335v1,2603.03654v1,AI,IMAGING,0.9508589506149292,7
95,5846,FIG_00000096,FIG_00005847,2605.30334v1,2605.30859v1,AI,AI,0.9536353349685669,1
99,100,FIG_00000100,FIG_00000101,2605.30327v1,2605.30327v1,AI,AI,0.9709614515304565,1
99,101,FIG_00000100,FIG_00000102,2605.30327v1,2605.30327v1,AI,AI,0.9608769416809082,2
100,101,FIG_00000101,FIG_00000102,2605.30327v1,2605.30327v1,AI,AI,0.9857562780380249,1
102,103,FIG_00000103,FIG_00000104,2605.30327v1,2605.30327v1,AI,AI,0.9854860305786133,1
102,105,FIG_00000103,FIG_00000106,2605.30327v1,2605.30327v1,AI,AI,0.9792248010635376,2
102,9860,FIG_00000103,FIG_00009861,2605.30327v1,2605.28014v1,AI,ML,0.9518202543258667,3
102,2309,FIG_00000103,FIG_00002310,2605.30327v1,2605.29068v1,AI,AI,0.9507391452789307,4
103,105,FIG_00000104,FIG_00000106,2605.30327v1,2605.30327v1,AI,AI,0.9954416751861572,1
103,31615,FIG_00000104,FIG_00031616,2605.30327v1,2602.08751v3,AI,BIOINFO,0.9568847417831421,2
103,7262,FIG_00000104,FIG_00007263,2605.30327v1,2605.30892v1,AI,ML,0.9552879333496094,3
103,7260,FIG_00000104,FIG_00007261,2605.30327v1,2605.30892v1,AI,ML,0.9536547660827637,4
103,27881,FIG_00000104,FIG_00027882,2605.30327v1,2602.00109v1,AI,IMAGING,0.9515101909637451,5
104,936,FIG_00000105,FIG_00000937,2605.30327v1,2605.29960v1,AI,AI,0.9700545072555542,1
104,13136,FIG_00000105,FIG_00013137,2605.30327v1,2605.29498v1,AI,CV,0.9611998796463013,2
104,779,FIG_00000105,FIG_00000780,2605.30327v1,2605.30040v1,AI,AI,0.9594436883926392,3
104,29824,FIG_00000105,FIG_00029825,2605.30327v1,2604.20824v1,AI,BIOINFO,0.9582788944244385,4
104,1814,FIG_00000105,FIG_00001815,2605.30327v1,2605.29396v1,AI,AI,0.9573948383331299,5
104,16848,FIG_00000105,FIG_00016849,2605.30327v1,2604.06671v1,AI,IMAGING,0.955877423286438,6
104,24234,FIG_00000105,FIG_00024235,2605.30327v1,2605.16737v1,AI,ROBOTICS,0.9556887149810791,7
104,20345,FIG_00000105,FIG_00020346,2605.30327v1,2602.07403v1,AI,IMAGING,0.9553188681602478,8
104,31190,FIG_00000105,FIG_00031191,2605.30327v1,2603.00614v1,AI,BIOINFO,0.9552323818206787,9
104,11211,FIG_00000105,FIG_00011212,2605.30327v1,2605.26429v1,AI,ML,0.9551631212234497,10
104,1194,FIG_00000105,FIG_00001195,2605.30327v1,2605.29744v1,AI,AI,0.9546763896942139,11
104,6000,FIG_00000105,FIG_00006001,2605.30327v1,2605.30785v1,AI,AI,0.9538512825965881,12
104,2309,FIG_00000105,FIG_00002310,2605.30327v1,2605.29068v1,AI,AI,0.9537960886955261,13
104,9860,FIG_00000105,FIG_00009861,2605.30327v1,2605.28014v1,AI,ML,0.9526569247245789,14
104,196,FIG_00000105,FIG_00000197,2605.30327v1,2605.30349v1,AI,CV,0.9515214562416077,15
104,30962,FIG_00000105,FIG_00030963,2605.30327v1,2603.06087v1,AI,BIOINFO,0.9508593082427979,16
104,8918,FIG_00000105,FIG_00008919,2605.30327v1,2605.29002v1,AI,ML,0.9505528211593628,17
104,8793,FIG_00000105,FIG_00008794,2605.30327v1,2605.29139v1,AI,ML,0.9505066871643066,18
105,31615,FIG_00000106,FIG_00031616,2605.30327v1,2602.08751v3,AI,BIOINFO,0.9576401710510254,1
111,1670,FIG_00000112,FIG_00001671,2605.30350v1,2605.29453v1,ML,AI,0.9509507417678833,1
121,132,FIG_00000122,FIG_00000133,2605.30337v1,2605.30337v1,ML,ML,0.9885202050209045,1
121,131,FIG_00000122,FIG_00000132,2605.30337v1,2605.30337v1,ML,ML,0.9642672538757324,2
124,4642,FIG_00000125,FIG_00004643,2605.30337v1,2605.27646v1,ML,AI,0.9566812515258789,1
124,5660,FIG_00000125,FIG_00005661,2605.30337v1,2605.31061v1,ML,AI,0.953849196434021,2
124,27136,FIG_00000125,FIG_00027137,2605.30337v1,2605.07764v1,ML,ROBOTICS,0.9522652626037598,3
124,4644,FIG_00000125,FIG_00004645,2605.30337v1,2605.27646v1,ML,AI,0.9512817859649658,4
124,6047,FIG_00000125,FIG_00006048,2605.30337v1,2605.30716v1,ML,AI,0.9500858783721924,5
128,1833,FIG_00000129,FIG_00001834,2605.30337v1,2605.29380v1,ML,AI,0.9518901109695435,1
131,132,FIG_00000132,FIG_00000133,2605.30337v1,2605.30337v1,ML,ML,0.9634144306182861,1
137,3578,FIG_00000138,FIG_00003579,2605.30330v1,2605.28101v1,ML,AI,0.9634493589401245,1
137,7650,FIG_00000138,FIG_00007651,2605.30330v1,2605.30600v1,ML,ML,0.9611199498176575,2
137,3576,FIG_00000138,FIG_00003577,2605.30330v1,2605.28101v1,ML,AI,0.9607672691345215,3
137,6921,FIG_00000138,FIG_00006922,2605.30330v1,2605.31127v1,ML,ML,0.9582617878913879,4
137,15032,FIG_00000138,FIG_00015033,2605.30330v1,2605.12566v1,ML,IMAGING,0.9579596519470215,5
137,10729,FIG_00000138,FIG_00010730,2605.30330v1,2605.27474v2,ML,ML,0.957159698009491,6
137,8500,FIG_00000138,FIG_00008501,2605.30330v1,2605.29622v1,ML,ML,0.9567006826400757,7
137,9798,FIG_00000138,FIG_00009799,2605.30330v1,2605.28068v2,ML,ML,0.956062912940979,8
137,16833,FIG_00000138,FIG_00016834,2605.30330v1,2604.07402v1,ML,IMAGING,0.954771876335144,9
137,1582,FIG_00000138,FIG_00001583,2605.30330v1,2605.29500v1,ML,AI,0.9534335136413574,10
137,29007,FIG_00000138,FIG_00029008,2605.30330v1,2605.18552v1,ML,BIOINFO,0.9532910585403442,11
137,1741,FIG_00000138,FIG_00001742,2605.30330v1,2605.29434v1,ML,AI,0.951615571975708,12
137,2018,FIG_00000138,FIG_00002019,2605.30330v1,2605.29250v1,ML,AI,0.9508859515190125,13
137,32284,FIG_00000138,FIG_00032285,2605.30330v1,2601.12801v1,ML,BIOINFO,0.9504055976867676,14
139,3973,FIG_00000140,FIG_00003974,2605.30330v1,2605.27932v1,ML,AI,0.959225058555603,1
139,2087,FIG_00000140,FIG_00002088,2605.30330v1,2605.29194v1,ML,AI,0.9572930335998535,2
139,5161,FIG_00000140,FIG_00005162,2605.30330v1,2605.27134v1,ML,AI,0.9570747017860413,3
139,2018,FIG_00000140,FIG_00002019,2605.30330v1,2605.29250v1,ML,AI,0.9570503234863281,4
139,5800,FIG_00000140,FIG_00005801,2605.30330v1,2605.30898v1,ML,AI,0.9540719389915466,5
139,7204,FIG_00000140,FIG_00007205,2605.30330v1,2605.30936v1,ML,ML,0.9534783363342285,6
139,5802,FIG_00000140,FIG_00005803,2605.30330v1,2605.30898v1,ML,AI,0.9523798227310181,7
139,17157,FIG_00000140,FIG_00017158,2605.30330v1,2604.02846v2,ML,IMAGING,0.9502975344657898,8
139,26294,FIG_00000140,FIG_00026295,2605.30330v1,2605.10457v1,ML,ROBOTICS,0.9500584602355957,9
157,158,FIG_00000158,FIG_00000159,2605.30330v1,2605.30330v1,ML,ML,0.9990913271903992,1
163,165,FIG_00000164,FIG_00000166,2605.30329v1,2605.30329v1,ML,ML,0.995311439037323,1
167,175,FIG_00000168,FIG_00000176,2605.30329v1,2605.30329v1,ML,ML,0.951579213142395,1
168,176,FIG_00000169,FIG_00000177,2605.30329v1,2605.30329v1,ML,ML,0.9992530345916748,1
168,172,FIG_00000169,FIG_00000173,2605.30329v1,2605.30329v1,ML,ML,0.9705857634544373,2
169,170,FIG_00000170,FIG_00000171,2605.30329v1,2605.30329v1,ML,ML,0.9793801307678223,1
169,174,FIG_00000170,FIG_00000175,2605.30329v1,2605.30329v1,ML,ML,0.9762972593307495,2
169,173,FIG_00000170,FIG_00000174,2605.30329v1,2605.30329v1,ML,ML,0.9598090648651123,3
170,174,FIG_00000171,FIG_00000175,2605.30329v1,2605.30329v1,ML,ML,0.9850423336029053,1
170,177,FIG_00000171,FIG_00000178,2605.30329v1,2605.30329v1,ML,ML,0.9793801307678223,2
170,173,FIG_00000171,FIG_00000174,2605.30329v1,2605.30329v1,ML,ML,0.9686368107795715,3
171,179,FIG_00000172,FIG_00000180,2605.30329v1,2605.30329v1,ML,ML,0.960439145565033,1
172,176,FIG_00000173,FIG_00000177,2605.30329v1,2605.30329v1,ML,ML,0.9674574136734009,1
173,174,FIG_00000174,FIG_00000175,2605.30329v1,2605.30329v1,ML,ML,0.9744354486465454,1
173,177,FIG_00000174,FIG_00000178,2605.30329v1,2605.30329v1,ML,ML,0.9598090648651123,2
174,177,FIG_00000175,FIG_00000178,2605.30329v1,2605.30329v1,ML,ML,0.9762972593307495,1
196,31696,FIG_00000197,FIG_00031697,2605.30349v1,2602.04883v2,CV,BIOINFO,0.9685295224189758,1
196,24234,FIG_00000197,FIG_00024235,2605.30349v1,2605.16737v1,CV,ROBOTICS,0.9658656716346741,2
196,3249,FIG_00000197,FIG_00003250,2605.30349v1,2605.28302v1,CV,AI,0.9643611311912537,3
196,33302,FIG_00000197,FIG_00033303,2605.30349v1,2512.11511v1,CV,BIOINFO,0.9642579555511475,4
196,612,FIG_00000197,FIG_00000613,2605.30349v1,2605.30159v1,CV,AI,0.963594913482666,5
196,2309,FIG_00000197,FIG_00002310,2605.30349v1,2605.29068v1,CV,AI,0.9612935781478882,6
196,31279,FIG_00000197,FIG_00031280,2605.30349v1,2602.20344v1,CV,BIOINFO,0.9606442451477051,7
196,6000,FIG_00000197,FIG_00006001,2605.30349v1,2605.30785v1,CV,AI,0.9594192504882812,8
196,986,FIG_00000197,FIG_00000987,2605.30349v1,2605.29928v1,CV,AI,0.9593931436538696,9
196,17970,FIG_00000197,FIG_00017971,2605.30349v1,2603.18123v3,CV,IMAGING,0.9583088159561157,10
196,24311,FIG_00000197,FIG_00024312,2605.30349v1,2605.16154v1,CV,ROBOTICS,0.9580285549163818,11
196,2316,FIG_00000197,FIG_00002317,2605.30349v1,2605.29055v1,CV,AI,0.9569306373596191,12
196,7213,FIG_00000197,FIG_00007214,2605.30349v1,2605.30914v1,CV,ML,0.9568955898284912,13
196,14674,FIG_00000197,FIG_00014675,2605.30349v1,2605.18378v1,CV,IMAGING,0.9566318988800049,14
196,18915,FIG_00000197,FIG_00018916,2605.30349v1,2603.03938v1,CV,IMAGING,0.9563249349594116,15
196,5697,FIG_00000197,FIG_00005698,2605.30349v1,2605.31021v1,CV,AI,0.9553792476654053,16
196,1444,FIG_00000197,FIG_00001445,2605.30349v1,2605.29563v1,CV,AI,0.9553704261779785,17
196,989,FIG_00000197,FIG_00000990,2605.30349v1,2605.29927v1,CV,AI,0.9551364183425903,18
196,27838,FIG_00000197,FIG_00027839,2605.30349v1,2601.19293v2,CV,IMAGING,0.9548671245574951,19
196,25366,FIG_00000197,FIG_00025367,2605.30349v1,2605.13105v1,CV,ROBOTICS,0.9544476866722107,20
212,213,FIG_00000213,FIG_00000214,2605.30346v1,2605.30346v1,CV,CV,0.9954021573066711,1
226,227,FIG_00000227,FIG_00000228,2605.30342v1,2605.30342v1,CV,CV,0.9995965957641602,1
239,11935,FIG_00000240,FIG_00011936,2605.30339v1,2605.31557v1,CV,CV,0.9666304588317871,1
268,8211,FIG_00000269,FIG_00008212,2605.30332v1,2605.30396v1,CV,ML,0.9676591157913208,1
268,8208,FIG_00000269,FIG_00008209,2605.30332v1,2605.30396v1,CV,ML,0.967211127281189,2
268,8214,FIG_00000269,FIG_00008215,2605.30332v1,2605.30396v1,CV,ML,0.9655022621154785,3
268,8212,FIG_00000269,FIG_00008213,2605.30332v1,2605.30396v1,CV,ML,0.9649813175201416,4
268,8207,FIG_00000269,FIG_00008208,2605.30332v1,2605.30396v1,CV,ML,0.9646378755569458,5
268,8218,FIG_00000269,FIG_00008219,2605.30332v1,2605.30396v1,CV,ML,0.9621127843856812,6
268,7309,FIG_00000269,FIG_00007310,2605.30332v1,2605.30842v1,CV,ML,0.9615182876586914,7
268,8213,FIG_00000269,FIG_00008214,2605.30332v1,2605.30396v1,CV,ML,0.9610995054244995,8
268,10176,FIG_00000269,FIG_00010177,2605.30332v1,2605.27690v1,CV,ML,0.9610872268676758,9
268,8199,FIG_00000269,FIG_00008200,2605.30332v1,2605.30396v1,CV,ML,0.9603769779205322,10
268,13140,FIG_00000269,FIG_00013141,2605.30332v1,2605.29496v1,CV,CV,0.9598053693771362,11
268,8201,FIG_00000269,FIG_00008202,2605.30332v1,2605.30396v1,CV,ML,0.9583791494369507,12
268,29515,FIG_00000269,FIG_00029516,2605.30332v1,2605.03578v1,CV,BIOINFO,0.9571701288223267,13
268,25555,FIG_00000269,FIG_00025556,2605.30332v1,2605.12674v1,CV,ROBOTICS,0.956315279006958,14
268,8215,FIG_00000269,FIG_00008216,2605.30332v1,2605.30396v1,CV,ML,0.9561001658439636,15
268,8216,FIG_00000269,FIG_00008217,2605.30332v1,2605.30396v1,CV,ML,0.9560158848762512,16
268,25554,FIG_00000269,FIG_00025555,2605.30332v1,2605.12674v1,CV,ROBOTICS,0.9557867646217346,17
268,5763,FIG_00000269,FIG_00005764,2605.30332v1,2605.30919v1,CV,AI,0.9557285904884338,18
268,27542,FIG_00000269,FIG_00027543,2605.30332v1,2601.23231v1,CV,IMAGING,0.9555124640464783,19
268,8195,FIG_00000269,FIG_00008196,2605.30332v1,2605.30396v1,CV,ML,0.9554986953735352,20
278,32730,FIG_00000279,FIG_00032731,2605.30326v1,2601.00050v3,ROBOTICS,BIOINFO,0.9611610174179077,1
278,9860,FIG_00000279,FIG_00009861,2605.30326v1,2605.28014v1,ROBOTICS,ML,0.9586136341094971,2
278,2981,FIG_00000279,FIG_00002982,2605.30326v1,2605.28498v1,ROBOTICS,AI,0.9558878540992737,3
278,1907,FIG_00000279,FIG_00001908,2605.30326v1,2605.29303v1,ROBOTICS,AI,0.955105721950531,4
278,5661,FIG_00000279,FIG_00005662,2605.30326v1,2605.31061v1,ROBOTICS,AI,0.9545608758926392,5
278,11415,FIG_00000279,FIG_00011416,2605.30326v1,2605.26289v1,ROBOTICS,ML,0.954142153263092,6
278,2081,FIG_00000279,FIG_00002082,2605.30326v1,2605.29218v1,ROBOTICS,AI,0.9539397358894348,7
278,5654,FIG_00000279,FIG_00005655,2605.30326v1,2605.31061v1,ROBOTICS,AI,0.9537816047668457,8
278,548,FIG_00000279,FIG_00000549,2605.30326v1,2605.30227v1,ROBOTICS,AI,0.9524693489074707,9
278,7258,FIG_00000279,FIG_00007259,2605.30326v1,2605.30892v1,ROBOTICS,ML,0.952446460723877,10
278,4031,FIG_00000279,FIG_00004032,2605.30326v1,2605.27911v1,ROBOTICS,AI,0.9515749216079712,11
278,949,FIG_00000279,FIG_00000950,2605.30326v1,2605.29951v1,ROBOTICS,AI,0.9514800310134888,12
278,1906,FIG_00000279,FIG_00001907,2605.30326v1,2605.29303v1,ROBOTICS,AI,0.9512368440628052,13
278,7195,FIG_00000279,FIG_00007196,2605.30326v1,2605.30952v1,ROBOTICS,ML,0.9509561657905579,14
278,31128,FIG_00000279,FIG_00031129,2605.30326v1,2603.01537v1,ROBOTICS,BIOINFO,0.9509370923042297,15
281,13975,FIG_00000282,FIG_00013976,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9990202188491821,1
282,13976,FIG_00000283,FIG_00013977,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9864656925201416,1
283,13977,FIG_00000284,FIG_00013978,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9952664375305176,1
284,13978,FIG_00000285,FIG_00013979,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9996157884597778,1
284,2024,FIG_00000285,FIG_00002025,2605.30313v1,2605.29250v1,ROBOTICS,AI,0.9672927856445312,2
284,7301,FIG_00000285,FIG_00007302,2605.30313v1,2605.30858v1,ROBOTICS,ML,0.9584354162216187,3
284,7474,FIG_00000285,FIG_00007475,2605.30313v1,2605.30728v1,ROBOTICS,ML,0.9577938318252563,4
284,4839,FIG_00000285,FIG_00004840,2605.30313v1,2605.27365v2,ROBOTICS,AI,0.9549977779388428,5
284,29444,FIG_00000285,FIG_00029445,2605.30313v1,2605.04908v1,ROBOTICS,BIOINFO,0.9544774889945984,6
284,31896,FIG_00000285,FIG_00031897,2605.30313v1,2602.01751v2,ROBOTICS,BIOINFO,0.953554630279541,7
284,25655,FIG_00000285,FIG_00025656,2605.30313v1,2605.12369v1,ROBOTICS,ROBOTICS,0.9535188674926758,8
284,8596,FIG_00000285,FIG_00008597,2605.30313v1,2605.29494v1,ROBOTICS,ML,0.9531621932983398,9
284,21266,FIG_00000285,FIG_00021267,2605.30313v1,2605.27759v1,ROBOTICS,ROBOTICS,0.9522852301597595,10
284,24291,FIG_00000285,FIG_00024292,2605.30313v1,2605.16514v1,ROBOTICS,ROBOTICS,0.9515275955200195,11
284,6801,FIG_00000285,FIG_00006802,2605.30313v1,2605.31222v1,ROBOTICS,ML,0.9514994621276855,12
284,8421,FIG_00000285,FIG_00008422,2605.30313v1,2605.29698v1,ROBOTICS,ML,0.9508902430534363,13
285,13979,FIG_00000286,FIG_00013980,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9916099309921265,1
286,13980,FIG_00000287,FIG_00013981,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9961990714073181,1
287,13981,FIG_00000288,FIG_00013982,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9995145797729492,1
288,13982,FIG_00000289,FIG_00013983,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9978444576263428,1
289,13983,FIG_00000290,FIG_00013984,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9984608292579651,1
290,13984,FIG_00000291,FIG_00013985,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9993120431900024,1
292,13986,FIG_00000293,FIG_00013987,2605.30313v1,2605.30313v2,ROBOTICS,ROBOTICS,0.9991140365600586,1
304,4017,FIG_00000305,FIG_00004018,2605.30280v1,2605.27914v1,ROBOTICS,AI,0.957137942314148,1
319,323,FIG_00000320,FIG_00000324,2605.30056v1,2605.30056v1,ROBOTICS,ROBOTICS,0.9628348350524902,1
322,16900,FIG_00000323,FIG_00016901,2605.30056v1,2604.06561v1,ROBOTICS,IMAGING,0.963782787322998,1
322,16789,FIG_00000323,FIG_00016790,2605.30056v1,2604.07477v1,ROBOTICS,IMAGING,0.9624526500701904,2
322,19867,FIG_00000323,FIG_00019868,2605.30056v1,2602.14709v2,ROBOTICS,IMAGING,0.9558138251304626,3
322,22156,FIG_00000323,FIG_00022157,2605.30056v1,2605.23386v1,ROBOTICS,ROBOTICS,0.9530388712882996,4
322,10923,FIG_00000323,FIG_00010924,2605.30056v1,2605.26606v1,ROBOTICS,ML,0.9510650038719177,5
322,10659,FIG_00000323,FIG_00010660,2605.30056v1,2605.26977v1,ROBOTICS,ML,0.9503542184829712,6
324,5959,FIG_00000325,FIG_00005960,2605.30056v1,2605.30802v1,ROBOTICS,AI,0.9739025831222534,1
324,11091,FIG_00000325,FIG_00011092,2605.30056v1,2605.26533v1,ROBOTICS,ML,0.9536173343658447,2
